standart_names,ADR,Raiting
ингавирин,"{'Нет ADR': 480, 'Гиперчувствительность': 1, 'Сомнолентность': 1, 'Нежелательная лекарственная реакция': 1, 'Гипакузия': 1, 'Ушная инфекция': 1, 'Паническая реакция': 1, 'Расстройство сна': 3, 'Галлюцинация': 1, 'Сухость во рту': 1, 'Тошнота': 1, 'Паническое расстройство': 1, 'Ажитация': 1, 'Синдром Лёфгрена': 1, 'Легочный саркоидоз': 1}",Плохой: не помогает
индинол форте,{'Нет ADR': 7},Плохой: частные побочне реакции
индинол форто,{'Нет ADR': 7},Плохой
интерферон,"{'Нет ADR': 150, 'Паническая реакция': 1, 'Страх': 3, 'Головная боль': 2, 'Сыпь': 2, 'Гиперчувствительность': 2}","Хороший, но есть ADR"
интерферон альфа,{'Нет ADR': 26},Хороший
интерферон альфа-2b,{'Нет ADR': 24},Хороший
инфагель,{'Нет ADR': 24},Хороший
инфлювак,{'Нет ADR': 11},Плохой: частные побочне реакции
инфлюцид,"{'Нет ADR': 85, 'Рвота': 1, 'Диарея': 1, 'Головокружение': 1, 'Астения': 1, 'Сердцебиение': 1, 'Чувство тревоги': 1}",Плохой: не помогает
ирс 19,"{'Нет ADR': 201, 'Гиперчувствительность': 2}",Плохой: частные побочне реакции
исмижен,{'Нет ADR': 19},Плохой: частные побочне реакции
кавинтон,{'Нет ADR': 10},Плохой: частные побочне реакции
кавинтон форте,{'Нет ADR': 26},Плохой: не помогает
кагоцел,"{'Нет ADR': 284, 'Снижение артериального давления': 2, 'Снижение вязкости крови': 1, 'Снижение уровня гемоглобина': 1, 'Новообразование': 3, 'Повышение артериального давления': 2, 'Тахикардия': 1, 'Частота сердечных сокращений выше нормы': 1, 'Головная боль': 1}","Хороший, но есть ADR"
кальция гопантенат,{'Нет ADR': 13},Хороший
кипферон,"{'Нет ADR': 76, 'Эритема': 1, 'Астения': 2, 'Сомнолентность': 1}","Хороший, но есть ADR"
колдрекс,"{'Нет ADR': 83, 'Головная боль': 1, 'Нервозность': 1, 'Тошнота': 1}","Хороший, но есть ADR"
колдрекс максгрипп,"{'Нет ADR': 58, 'Повышение артериального давления': 1, 'Головная боль': 1, 'Апатия': 1, 'Депрессия': 1, 'Расстройство сна': 1, 'Настроение измененное': 1, 'Безразличие': 1, 'Дисбиоз': 1, 'Чувство угнетения': 1, 'Дисгевзия': 1}","Хороший, но есть ADR"
колдрекс хотрем,"{'Нет ADR': 83, 'Бессонница': 1, 'Диарея': 1, 'Боль в верхних отделах живота': 1}","Хороший, но есть ADR"
колдфри,"{'Нет ADR': 16, 'Боль': 1, 'Боль в верхних отделах живота': 1}",Плохой
корвалдин,"{'Нет ADR': 14, 'Боль в ротоглотке (орофарингеальная)': 1, 'Пирексия': 1}","Хороший, но есть ADR"
корвалол,"{'Нет ADR': 71, 'Боль в ротоглотке (орофарингеальная)': 1, 'Чувство тревоги': 2, 'Страх': 1, 'Депрессия': 1, 'Головокружение': 1, 'Снижение аппетита': 1, 'Тошнота': 1, 'Зуд': 1}","Хороший, но есть ADR"
кортексин,"{'Нет ADR': 163, 'Нарушение гормонального уровня': 1, 'Настроение измененное': 1, 'Боль в области молочных желез': 1, 'Кровоизлияние': 1, 'Рвота': 1}",Плохой: не помогает
кортексин для детей,{'Нет ADR': 22},Плохой: частные побочне реакции
ксимелин,"{'Нет ADR': 56, 'Гиперчувствительность': 3, 'Эритема': 1}",Плохой: частные побочне реакции
лавомакс,{'Нет ADR': 17},Хороший
лаферобион,"{'Нет ADR': 66, 'Диарея': 1, 'Дисгевзия': 1, 'Нетипичные шумы желудочно-кишечного тракта': 1, 'Флатуленция': 1, 'Гиперсекреторное слезоотделение': 1, 'Тиннитус': 1, 'Головная боль': 1, 'Нервозность': 1, 'Раздражительность': 1, 'Гипестезия': 1, 'Холодные периферические отделы конечностей': 1}","Хороший, но есть ADR"
ликопид,{'Нет ADR': 55},Плохой: частные побочне реакции
лимон,{'Нет ADR': 28},Хороший
линкас орви,{'Нет ADR': 36},Хороший
луцетам,{'Нет ADR': 28},Плохой: не помогает
максиколд рино,"{'Нет ADR': 38, 'Гиперчувствительность': 3, 'Сыпь': 1, 'Одышка': 2, 'Эритема глотки': 1, 'Заложенность носа': 1}","Хороший, но есть ADR"
мелаксен,"{'Дисфония': 1, 'Дискомфорт': 1, 'Нет ADR': 70, 'Гиперчувствительность': 1}",Плохой: частные побочне реакции
мелатонин,{'Нет ADR': 17},Плохой: частные побочне реакции
назаваль,{'Нет ADR': 34},Плохой: не помогает
назоферон,{'Нет ADR': 41},Плохой
нитроксолин,{'Нет ADR': 29},Хороший
новирин,{'Нет ADR': 42},Плохой
ноотропил,{'Нет ADR': 22},Хороший
окавакс,{'Нет ADR': 19},Плохой
оксолин,"{'Нет ADR': 221, 'Дисгевзия': 1, 'Сомнолентность': 4, 'Снижение уровня сознания': 1, 'Головная боль': 5, 'Астения': 1, 'Дискомфорт в голове': 1, 'Отечность': 1, 'Отек век': 1, 'Припухлость лица': 1, 'Переносимость препарата': 2, 'Чувство жжения': 1, 'Мигрень': 1, 'Рвота': 1, 'Тошнота': 1, 'Диарея': 1}",Плохой: не помогает
орви колд,{'Головная боль': 1},Плохой
орвиколд,"{'Астения': 1, 'Нет ADR': 13}",Плохой: частные побочне реакции
орвирем,"{'Снижение уровня сознания': 1, 'Сомнолентность': 1, 'Вздутие живота': 2, 'Нет ADR': 116, '': 1, 'Снижение аппетита': 1, 'Изменение цвета языка': 1, 'Гиперчувствительность': 1}",Плохой: не помогает
панавир,{'Нет ADR': 32},Хороший
пантенол,{'Нет ADR': 1},Плохой
пантогам,{'Нет ADR': 53},Плохой: частные побочне реакции
парацетамол,"{'Нет ADR': 65, 'Гиперчувствительность': 1, 'Нежелательная лекарственная реакция': 1}","Хороший, но есть ADR"
персен,{'Нет ADR': 63},Хороший
персен форте,{'Нет ADR': 14},Хороший
пиона уклоняющегося настойка,{'Нет ADR': 53},Плохой: не помогает
пирацетам,"{'Нет ADR': 78, 'Сухость в носу': 1, 'Переносимость препарата': 1}","Хороший, но есть ADR"
пневмо 23,{'Нет ADR': 20},Плохой: не помогает
полижинакс,{'Нет ADR': 108},Хороший
полиоксидоний,"{'Нет ADR': 22, 'Психомоторная гиперактивность': 1}",Плохой: не помогает
полисол,{'Нет ADR': 7},Плохой
протефлазид,"{'Нет ADR': 26, 'Дискомфорт в носу': 1, 'Боль': 1, 'Зуд в носу': 1}",Плохой: не помогает
пустырник,"{'Нет ADR': 50, 'Мышечные спазмы': 1}",Плохой: не помогает
регевак в,{'Нет ADR': 20},Хороший
римантадин,"{'Нет ADR': 208, 'Переносимость препарата': 1, 'Головная боль': 1, 'Гиперчувствительность': 2, 'Синкопе': 1, 'Сомнолентность': 3, 'Апатия': 1, 'Крапивница': 1, 'Зуд': 1, 'Отек лица': 1, 'Сыпь': 1, 'Эритема': 1}",Плохой: не помогает
ринза,{'Нет ADR': 69},Хороший
ринзасип,{'Нет ADR': 24},Плохой: не помогает
ринзасип с витамином с,{'Нет ADR': 20},Плохой: не помогает
ринофлуимуцил,"{'Нет ADR': 144, 'Артралгия': 2, 'Боль': 2, 'Двигательное нарушение': 1}","Хороший, но есть ADR"
санвал,"{'Нет ADR': 46, 'Астения': 1, 'Вялость': 1, 'Двигательное нарушение': 1, 'Артралгия': 1}",Плохой: частные побочне реакции
седавит,{'Нет ADR': 26},Хороший
седасен форте,{'Нет ADR': 11},Хороший
селанк,{'Нет ADR': 19},Хороший
семакс,{'Нет ADR': 23},Хороший
сироп шиповника,{'Нет ADR': 10},Хороший
сомнол,{'Нет ADR': 31},Хороший
сондокс,{'Нет ADR': 29},Плохой: не помогает
сонмил,"{'Нет ADR': 185, 'Боль в животе': 1, 'Отрыжка детского возраста': 1}",Плохой: не помогает
спрегаль,{'Нет ADR': 11},Хороший
стопгрипан,{'Нет ADR': 27},Плохой: не помогает
сульфадиметоксин,{'Нет ADR': 21},Хороший
таурин,{'Нет ADR': 10},Хороший
тенотен,"{'Нет ADR': 194, 'Апатия': 2, 'Перепады настроения': 2, 'Расстройство поведения': 1, 'Вялость': 1, 'Агрессия': 1, 'Голод': 1, 'Увеличение веса': 1, 'Нарушение памяти': 1}",Плохой: частные побочне реакции
тенотен детский,{'Нет ADR': 62},Плохой: не помогает
терафлю,{'Нет ADR': 50},Хороший
тилорон,{'Нет ADR': 9},Плохой
тонзилгон н,{'Нет ADR': 78},Хороший
трентал,{'Нет ADR': 39},Плохой: не помогает
тривалумен,{'Нет ADR': 44},Хороший
фармацитрон,{'Нет ADR': 8},Плохой: частные побочне реакции
фармацитрон форте,{'Нет ADR': 23},Хороший
феназепам,{'Нет ADR': 41},Хороший
фенибут,"{'Нет ADR': 91, 'Чувство жжения': 1}","Хороший, но есть ADR"
фенилэфрин,"{'Нет ADR': 4, 'Недомогание': 1, 'Головокружение': 1}","Хороший, но есть ADR"
фенистил,"{'Тошнота': 1, 'Головная боль': 1, 'Вялость': 1, 'Расстройство сна': 1, 'Нет ADR': 32, 'Снижение уровня сознания': 1}",Плохой
фенистил пенцивир,{'Нет ADR': 3},Плохой: не помогает
фенобарбитал,{'Нет ADR': 8},Хороший
флавозид,{'Нет ADR': 26},Плохой: не помогает
флюколд,"{'Нет ADR': 82, 'Першение в горле': 1}","Хороший, но есть ADR"
хелпекс антиколд,"{'Нет ADR': 76, 'Сомнолентность': 2, 'Недомогание': 1, 'Усталость': 1, 'Головная боль': 1, 'Переносимость препарата': 1}",Плохой: не помогает
хиберикс,"{'Нет ADR': 18, 'Переносимость препарата': 2}","Хороший, но есть ADR"
ценнаризин,{'Нет ADR': 11},Плохой: частные побочне реакции
цераксон,{'Нет ADR': 23},Плохой: не помогает
церебролизат,{'Нет ADR': 11},Хороший
циклоферон,{'Нет ADR': 63},Плохой: не помогает
циннаризин,{'Нет ADR': 8},Плохой: частные побочне реакции
чистонос спрей,{'Нет ADR': 11},Плохой
эвкабал,"{'Нет ADR': 35, 'Агрессия': 1, 'Суицидальные мысли': 1}","Хороший, но есть ADR"
эвкабал бальзам с,{'Нет ADR': 24},Хороший
эглонил,{'Нет ADR': 12},Плохой: частные побочне реакции
экстракт календулы,{'Нет ADR': 8},Хороший
экстракт эхинацеи,"{'Нет ADR': 5, 'Похмелье': 1, 'Абстинентный синдром': 1}",Плохой
энгистол,"{'Нет ADR': 24, 'Головокружение': 1, 'Астения': 1, 'Снижение аппетита': 1, 'Расстройство сна': 1, 'Темные круги под глазами': 1}",Плохой
энцефабол,"{'Нет ADR': 118, 'Дисгевзия': 1, 'Сыпь, макулезная': 1, 'Диарея': 1, 'Чихание': 5}","Хороший, но есть ADR"
эразабан,{'Нет ADR': 40},Плохой: не помогает
эргоферон,"{'Нет ADR': 252, 'Сомнолентность': 1}","Хороший, но есть ADR"
эхинацеи настойка,{'Нет ADR': 19},Хороший
эхинацея,{'Нет ADR': 13},Плохой: не помогает
