standart_names,ADR,Raiting
ацикловир,"{'Нет ADR': 239, 'Повышенная температура тела': 2, 'Ринорея': 4, 'Нервозность': 2, 'Напряженное состояние': 1, 'Бессонница': 1, 'Гепатит при инфекционном мононуклеозе': 1, 'Заложенность носа': 3, 'Низкое качество сна': 1, 'Профилактика': 8, 'Тремор': 1}",Плохой: частные побочные реакции
ацикловир белупо,"{'Нет ADR': 37, 'Пирексия': 1, 'Боль в ротоглотке (орофарингеальная)': 1}",Плохой
ацикловир сандоз,"{'Повышенная температура тела': 5, 'Нет ADR': 11, 'Миалгия': 1, 'Озноб': 1, 'Головная боль': 1}","Хороший, но есть ADR"
ацикловир форте,{'Нет ADR': 15},Плохой: частные побочные реакции
бальзам золотая звезда,"{'Нет ADR': 81, 'Повышенная температура тела': 1, 'Ринорея': 2}",Плохой: частные побочные реакции
барбарис комп(иов малыш),{'Нет ADR': 2},Плохой
барбовал,{'Нет ADR': 41},Плохой: частные побочные реакции
белара,{'Нет ADR': 5},Плохой
беллатаминал,"{'Стресс': 1, 'Нет ADR': 20}",Плохой: не помогает
биоарон с,"{'Нет ADR': 8, 'Недомогание': 1}","Хороший, но есть ADR"
биопарокс,{'Нет ADR': 1},Плохой
биотредин,{'Нет ADR': 11},Хороший
бифидобактерии,{'Нет ADR': 4},Плохой: не помогает
боярышник,{'Нет ADR': 2},Плохой
бриллиантовый зеленый,{'Нет ADR': 10},Плохой
бронхомакс,"{'Дисфункция навыков мелкой моторики': 1, 'Нарушение координации': 1, 'Нет ADR': 2}",Плохой: не помогает
валериана,"{'Нет ADR': 191, 'Повышенная температура тела': 1, 'Патология десен': 1, 'Неинфекционный гингивит': 1, '': 1, 'Головная боль': 1, 'Ажитация': 1, 'Заложенность носа': 1, 'Бессонница': 1}",Плохой: частные побочные реакции
варилрикс,"{'Нет ADR': 21, 'Профилактика': 1}",Плохой: частные побочные реакции
вечернее биокор драже,"{'Нет ADR': 55, 'Профилактика': 4, 'Ринорея': 2, 'Кашель': 1}",Плохой: частные побочные реакции
витамин с,"{'Нет ADR': 17, 'Неусидчивость': 1, 'Чувство тревоги': 1}","Хороший, но есть ADR"
виферон,"{'Нет ADR': 470, 'Ринорея': 6, 'Заложенность носа': 8, 'Боль в ротоглотке (орофарингеальная)': 4, 'Повышенная температура тела': 8, 'Профилактика': 3, 'Ангулярный хейлит': 4, 'Кашель': 6, 'Озноб': 1, 'Продуктивный кашель': 2, 'Бессонница': 1, 'Расстройство сна': 1, 'Низкое качество сна': 2, 'Терминальная бессонница': 1, 'Усталость': 1, 'Астения': 2, 'Пирексия': 1, 'Раздражительность': 1, 'Одышка': 1, '': 1, 'Нервозность': 1, 'Недомогание': 1, 'Боль в костях': 1}",Плохой: частные побочные реакции
галавит,{'Нет ADR': 16},Плохой: частные побочные реакции
галидор,"{'Нет ADR': 22, 'Раздражительность': 1}",Плохой: частные побочные реакции
галоперидол,"{'Нет ADR': 2, 'Боль в ротоглотке (орофарингеальная)': 1}",Плохой
геделикс,"{'Повышенная температура тела': 1, 'Боль в ротоглотке (орофарингеальная)': 1}",Плохой
гелариум гиперикум,"{'Нет ADR': 9, 'Боль': 1}",Плохой: не помогает
генферон,"{'Боль': 1, 'Профилактика': 2, 'Нет ADR': 50, 'Нарушение со стороны иммунной системы': 1}",Плохой: не помогает
генферон лайт,"{'Нет ADR': 100, 'Профилактика': 5, 'Инфекция дыхательных путей': 1, 'Повышенная температура тела': 2, 'Ринорея': 1, 'Назофарингит': 1, 'Раздражительность': 2}",Плохой: частные побочные реакции
герперакс,"{'Гнев': 1, 'Расстройство сна': 1, 'Менструальное нарушение': 1, 'Нет ADR': 25, 'Пирексия': 1}",Плохой: не помогает
гипорамин,"{'Нет ADR': 23, 'Профилактика': 1}",Плохой: частные побочные реакции
глиатилин,"{'Нет ADR': 34, 'Инфекция, вызванная вирусом герпеса': 1, 'Чихание': 1, 'Повышенная температура тела': 2, 'Профилактика': 1}",Плохой: частные побочные реакции
глицин,"{'Нет ADR': 220, 'Боль': 1, 'Повышенная температура тела': 3, 'Ощущение жара': 2, 'Пирексия': 1, 'Расстройство сна': 2, 'Бессонница': 3, 'Профилактика': 1}",Плохой: частные побочные реакции
глицин форте,"{'Нет ADR': 14, 'Пирексия': 1, 'Оральный герпес': 1}","Хороший, но есть ADR"
глицисед,"{'Нет ADR': 53, 'Психологическое расстройство': 1, 'Нервозность': 1, 'Бессонница': 2}","Хороший, но есть ADR"
граммидин с анестетиком нео,"{'Нет ADR': 152, 'Боль в ротоглотке (орофарингеальная)': 2, 'Нарушение памяти': 1}",Плохой: частные побочные реакции
гриппол плюс,"{'Нет ADR': 58, 'Заложенность носа': 2, 'Ринорея': 3, 'Нарушение со стороны иммунной системы': 1, 'Повышенная температура тела': 1, 'Головная боль': 1, 'Папилломавирусная инфекция': 1}",Плохой: частные побочные реакции
гриппостад,{'Нет ADR': 33},Хороший
гриппофлю экстра,"{'Нет ADR': 10, 'Стресс': 1, 'Раздражительность': 1, 'Чувство тревоги': 1}","Хороший, но есть ADR"
гриппферон,"{'Нет ADR': 296, 'Повышенная температура тела': 7, 'Ринорея': 5, 'Кашель': 2, 'Профилактика': 2, 'Пирексия': 2, 'Головная боль': 3, 'Миалгия': 1, 'Сердцебиение': 1, 'Частота сердечных сокращений выше нормы': 1, 'Ощущение жара': 1, 'Заложенность носа': 1, 'Эритема глотки': 1, 'Низкое качество сна': 1, 'Нарушение со стороны иммунной системы': 1, 'Гипотермия': 1, 'Стресс': 1, 'Пузырь': 2, 'Зуд': 2, 'Дискомфорт в ротовой полости': 1, 'Сыпь': 1, 'Назофарингит': 2, 'Бессонница': 1}",Плохой: частные побочные реакции
гропринозин,"{'Пирексия': 1, 'Нет ADR': 91, 'Ринорея': 1, 'Инфекционный энтерит': 1, 'Рвота': 1}",Плохой: не помогает
деприм,{'Нет ADR': 21},Хороший
деринат,{'Нет ADR': 25},Плохой
димедрол,{'Нет ADR': 23},Плохой: частные побочные реакции
доктор мом,"{'Нет ADR': 14, 'Ринорея': 1}",Плохой: частные побочные реакции
донормил,"{'Профилактика': 1, 'Нет ADR': 66, 'Боль': 2, 'Головная боль': 2, 'Головокружение': 1, 'Нарушение памяти': 2, 'Метастаз': 3}",Плохой: частные побочные реакции
зовиракс,{'Нет ADR': 6},Плохой
изопринозин,"{'Нет ADR': 139, 'Зуд': 1, 'Гиперчувствительность': 1, 'Периферический отек': 1, 'Артрит, аллергический': 1, 'Крапивница': 1, 'Профилактика': 5, 'Инфекция дыхательных путей': 1, 'Хейлит': 1, 'Хрипы': 1, 'Кашель': 1, 'Ринорея': 1, 'Низкое качество сна': 1, 'Настроение измененное': 1, 'Головная боль': 1}",Плохой: не помогает
изотонический раствор очищенной морской воды,{'Нет ADR': 1},Плохой
изофра,{'Нет ADR': 7},Хороший
иммунал,"{'Нет ADR': 142, 'Напряженное состояние': 1, 'Раздражительность': 2, 'Низкое качество сна': 3, 'Головная боль': 1, 'Бессонница': 1, 'Нервозность': 1, 'Стресс': 3, '': 1, 'Сомнолентность': 2, 'Повышенная температура тела': 1, 'Ринорея': 3, 'Неусидчивость': 1, 'Нарушение внимания': 1, 'Отравление': 1, 'Заложенность носа': 2, 'Кашель': 1, 'Пирексия': 1, 'Профилактика': 1, 'Оральный герпес': 1}",Плохой: частные побочные реакции
иммуноглобулин,{'Нет ADR': 6},Хороший
иммунофлазид,"{'Нет ADR': 67, 'Астения': 1, 'Повышенная температура тела': 1, 'Артралгия': 1, 'Ринорея': 1, 'Першение в горле': 1, 'Вирусная инфекция дыхательных путей': 1}","Хороший, но есть ADR"
имудон,{'Нет ADR': 15},Плохой: частные побочные реакции
ингавирин,"{'Нет ADR': 331, 'Пирексия': 1, 'Недомогание': 1, 'Бессонница': 1, 'Низкое качество сна': 1, 'Профилактика': 5, 'Сыпь': 1, 'Головная боль': 1, 'Отечность': 1, 'Першение в горле': 1, 'Гиперсекреторное слезоотделение': 1, 'Повышенная температура тела': 1, 'Расстройство речи': 1, 'Заложенность носа': 1, 'Нарушение памяти': 1, 'Нарушение внимания': 1, 'Раздражительность': 3, 'Ринорея': 1, 'Угри': 2}",Плохой: не помогает
индинол форте,{'Нет ADR': 6},Хороший
индинол форто,"{'Нет ADR': 6, 'Бессонница': 1, 'Невроз': 1}",Плохой
интерферон,"{'Нет ADR': 150, 'Нарушение мозгового кровообращения': 2, 'Сосудистое нарушение сетчатки': 3, 'Дистрофия сетчатки': 1, 'Профилактика': 1, 'Ринорея': 1, 'Кашель': 1, 'Заложенность носа': 1}",Плохой: частные побочные реакции
интерферон альфа,"{'Нет ADR': 26, 'Травма конечности': 1}",Плохой: частные побочные реакции
интерферон альфа-2b,"{'Нет ADR': 20, 'Головокружение': 2, 'Отклонения от нормы артериального давления': 1}","Хороший, но есть ADR"
инфагель,"{'Нет ADR': 23, 'Колебания артериального давления': 1, 'Профилактика': 1}",Плохой: частные побочные реакции
инфлювак,{'Нет ADR': 11},Плохой
инфлюцид,"{'Нет ADR': 93, 'Чихание': 1, 'Кашель': 2, 'Профилактика': 3, 'Боль': 1, 'Гиперсекреторное слезоотделение': 1, 'Ринорея': 1, 'Боль в ротоглотке (орофарингеальная)': 1}",Плохой
ирс 19,"{'Нет ADR': 189, 'Повышенная температура тела': 2, 'Головная боль': 2, 'Боль': 1, 'Стресс': 2, 'Профилактика': 2, 'Назофарингит': 1, 'Озноб': 1, 'Пирексия': 1, 'Боль в ротоглотке (орофарингеальная)': 1, 'Ринорея': 2, 'Нервозность': 1, 'Кашель': 1}",Плохой: частные побочные реакции
исмижен,"{'Нет ADR': 17, 'Ринорея': 1, 'Кашель': 1, 'Боль в ротоглотке (орофарингеальная)': 1}",Плохой: частные побочные реакции
йокс,{'Нет ADR': 3},Плохой
кавинтон,"{'Нет ADR': 13, 'Боль в ротоглотке (орофарингеальная)': 1}",Плохой
кавинтон форте,{'Нет ADR': 25},Плохой: не помогает
кагоцел,"{'Нет ADR': 256, 'Заложенность носа': 2, 'Головная боль': 1, 'Чихание': 2, 'Профилактика': 3, 'Назофарингит': 1, 'Повышенная температура тела': 2, 'Кашель': 2, 'Депрессия': 1, 'Нервозность': 1, 'Ажитация': 1, 'Ринорея': 1, 'Оральный герпес': 1, 'Пузырь на губе': 1, 'Стресс': 1, 'Внутримозговое кровоизлияние': 1}",Плохой: частные побочные реакции
кальция гопантенат,{'Нет ADR': 13},Хороший
киндинорм,{'Нет ADR': 4},Хороший
кипферон,"{'Нет ADR': 44, 'Пирексия': 4, 'Боль в ротоглотке (орофарингеальная)': 1, 'Кашель': 2, 'Ринорея': 1, 'Повышенная температура тела': 1, 'Головная боль': 1, 'Профилактика': 1}","Хороший, но есть ADR"
колдрекс,"{'Нет ADR': 71, 'Ринорея': 2, 'Заложенность носа': 1, 'Кашель': 2, 'Повышенная температура тела': 4, 'Озноб': 1, 'Гиперсекреторное слезоотделение': 2, 'Боль в ротоглотке (орофарингеальная)': 1, 'Головокружение': 1}","Хороший, но есть ADR"
колдрекс максгрипп,"{'Укачивание при движении': 1, 'Нет ADR': 61, 'Пирексия': 1, 'Неправильное положение матки': 1, 'Выделения': 1}","Хороший, но есть ADR"
колдрекс хотрем,"{'Нет ADR': 54, 'Ринорея': 1}",Плохой: частные побочные реакции
колдфри,{'Нет ADR': 17},Плохой
корвалдин,{'Нет ADR': 13},Хороший
корвалол,"{'Нет ADR': 136, 'Профилактика': 2, 'Расстройство речи': 1, 'Пирексия': 1}",Плохой: частные побочные реакции
кортексин,"{'Нет ADR': 128, 'Пемфигоид': 2, 'Сыпь, везикулезная': 1, 'Зуд': 1, 'Чувство жжения': 1, 'Профилактика': 3, 'Пирексия': 1, 'Мышечная слабость': 1, 'Головная боль': 1, 'Повышенная температура тела': 2, 'Боль в ротоглотке (орофарингеальная)': 1, 'Ринорея': 1}",Плохой: частные побочные реакции
кортексин для детей,"{'Нет ADR': 15, 'Ринорея': 1}",Плохой: частные побочные реакции
кофол,"{'Нет ADR': 14, 'Повышенная температура тела': 1}",Плохой: частные побочные реакции
ксимелин,"{'Нет ADR': 34, 'Профилактика': 1, 'Ринорея': 2}",Плохой: частные побочные реакции
лавомакс,"{'Бессонница': 1, 'Раздражительность': 1, 'Неусидчивость': 1, 'Нет ADR': 14}","Хороший, но есть ADR"
лаферобион,"{'Нет ADR': 104, 'Пирексия': 1, 'Кашель': 2, 'Глазные выделения': 1, 'Боль': 1, 'Повышенная температура тела': 1, 'Тиннитус': 1, 'Головная боль': 1, 'Стресс': 1, 'Вялость': 1, 'Ринорея': 1}","Хороший, но есть ADR"
лецитин,{'Нет ADR': 3},Хороший
лизобакт,{'Нет ADR': 2},Плохой
ликопид,"{'Нет ADR': 50, 'Ринорея': 2, 'Профилактика': 1}",Плохой: не помогает
лимон,"{'Нет ADR': 25, 'Ринорея': 3}",Плохой: частные побочные реакции
линкас орви,"{'Нет ADR': 34, 'Ринорея': 1}",Плохой: частные побочные реакции
луцетам,"{'Нет ADR': 27, 'Профилактика': 1}",Плохой: не помогает
люголь,{'Нет ADR': 2},Плохой
магне b6,{'Нет ADR': 1},Плохой
максиколд рино,"{'Нет ADR': 43, 'Пирексия': 2, '': 1}","Хороший, но есть ADR"
масло туи,{'Нет ADR': 5},Хороший
мелаксен,"{'Нет ADR': 62, 'Гиперчувствительность': 2, 'Профилактика': 1, 'Отравление': 1, 'Сомнолентность': 1}",Плохой
мелатонин,"{'Нет ADR': 12, 'Ринорея': 2, 'Отек носовых пазух': 1}","Хороший, но есть ADR"
метилурацил,"{'Нет ADR': 3, 'Ринорея': 1}",Плохой
назаваль,"{'Нет ADR': 30, 'Профилактика': 2}",Плохой: не помогает
назоферон,"{'Нет ADR': 28, 'Кашель': 3, 'Головная боль': 1, 'Боль в ротоглотке (орофарингеальная)': 1, 'Тик': 1, 'Боль': 1, 'Рубец': 1, 'Хейлит': 1, 'Угри': 1}",Плохой: частные побочные реакции
натрия хлорид раствор,{'Нет ADR': 1},Плохой
нейромультивит,"{'Нет ADR': 6, 'Угри': 1}",Плохой: не помогает
нитроксолин,"{'Эритема': 1, 'Нет ADR': 23, 'Угри': 1, 'Рубец': 2}",Плохой: частные побочные реакции
новирин,"{'Нет ADR': 40, 'Пирексия': 1, 'Одинофагия': 1, 'Заложенность носа': 1, 'Головная боль': 1, 'Кашель': 1}",Плохой: частные побочные реакции
ново-пассит,{'Нет ADR': 18},Плохой: частные побочные реакции
новокаин,{'Нет ADR': 2},Плохой
ноотропил,"{'Нет ADR': 27, 'Стоматит': 1, 'Ринорея': 1, 'Боль в ротоглотке (орофарингеальная)': 1}","Хороший, но есть ADR"
носоль,{'Нет ADR': 3},Плохой
нурофен,"{'Нет ADR': 33, 'Профилактика': 2}",Плохой: частные побочные реакции
окавакс,"{'Нет ADR': 9, 'Профилактика': 1}",Плохой: частные побочные реакции
оксолин,"{'Профилактика': 2, 'Нет ADR': 224, 'Бессонница': 4, 'Чувство тревоги': 5, 'Стресс': 2, 'Паническая реакция': 2, 'Заложенность носа': 4, 'Сыпь': 1, 'Раздражительность': 1}",Плохой: не помогает
орви колд,{'Нет ADR': 1},Плохой
орвиколд,{'Нет ADR': 6},Плохой
орвирем,"{'Нет ADR': 83, 'Чувство жжения': 1, 'Повышенная температура тела': 3, 'Ринорея': 2, 'Профилактика': 2}",Плохой: не помогает
отипакс,{'Нет ADR': 10},Хороший
панавир,"{'Нет ADR': 30, 'Ринорея': 1, 'Зуд': 1}",Плохой: частные побочные реакции
пантенол,{'Нет ADR': 1},Плохой
пантогам,"{'Нет ADR': 53, 'Повышенная температура тела': 2, 'Ринорея': 1, 'Боль в ротоглотке (орофарингеальная)': 1}",Плохой: не помогает
парацетамол,"{'Нет ADR': 65, 'Астения': 1}",Плохой: частные побочные реакции
пенициллин,{'Нет ADR': 6},Хороший
персен,"{'Нет ADR': 51, 'Ринорея': 1, 'Чихание': 1, 'Профилактика': 1, 'Колебания артериального давления': 2, 'Головная боль': 1, 'Метеопатия': 1, 'Нервозность': 1, 'Желудочно-кишечная боль': 2}","Хороший, но есть ADR"
персен форте,{'Нет ADR': 11},Хороший
пиона уклоняющегося настойка,"{'Нет ADR': 50, 'Ринорея': 1, 'Кашель': 1}",Плохой: не помогает
пирацетам,"{'Нет ADR': 67, 'Ринорея': 2, 'Заложенность носа': 1, 'Умственная усталость': 1, 'Напряженное состояние': 1, 'Расстройство сна': 1}",Плохой: частные побочные реакции
пневмо 23,"{'Нет ADR': 17, 'Повышенная температура тела': 2}",Плохой: не помогает
полижинакс,"{'Нет ADR': 124, 'Боль в ротоглотке (орофарингеальная)': 1, 'Кашель': 4, 'Ринорея': 3, 'Профилактика': 3, 'Повышенная температура тела': 3, 'Раздражительность': 1, 'Нервозность': 1, 'Пирексия': 1}",Плохой: частные побочные реакции
полиоксидоний,"{'Нет ADR': 19, 'Повышенная температура тела': 3, 'Сыпь': 1}",Плохой
полисол,{'Нет ADR': 7},Плохой
протаргол,{'Нет ADR': 1},Плохой
протефлазид,"{'Нет ADR': 27, 'Ринорея': 1, 'Профилактика': 1, 'Головная боль': 1, 'Рвота': 1}",Плохой: не помогает
пустырник,"{'Нет ADR': 56, 'Бессонница': 1, 'Боль': 1, 'Задержка моторного развития': 1, 'Гипокинезия': 2, 'Повышенная температура тела': 1, 'Головная боль': 1, 'Профилактика': 1}",Плохой
пустырника настойка,{'Нет ADR': 2},Плохой
регевак в,"{'Нет ADR': 18, 'Профилактика': 1}","Хороший, но есть ADR"
реладорм,{'Нет ADR': 5},Плохой: частные побочные реакции
римантадин,"{'Нет ADR': 202, 'Профилактика': 3, 'Ринорея': 3, 'Пирексия': 1, 'Синкопе': 1, 'Зуд': 1, 'Отек лица': 1, 'Повышенная температура тела': 1, 'Диарея': 1, 'Боль': 1}",Плохой: не помогает
ринза,"{'Нет ADR': 62, 'Профилактика': 1, 'Пирексия': 1, 'Повышенная температура тела': 1, 'Нервозность': 1, 'Астения': 1, 'Стресс': 1}","Хороший, но есть ADR"
ринзасип,"{'Нет ADR': 19, 'Ринорея': 4}",Плохой: не помогает
ринзасип с витамином с,"{'Нет ADR': 17, 'Профилактика': 1, 'Чихание': 1, 'Ринорея': 1}",Плохой: не помогает
ринофлуимуцил,"{'Нет ADR': 128, 'Чувство тревоги': 3, 'Сердцебиение': 1, 'Головокружение': 1, 'Стенокардия': 1, 'Паническая реакция': 1, 'Эмоциональное расстройство': 1, 'Профилактика': 5, 'Кашель': 1, 'Ринорея': 2}",Плохой: частные побочные реакции
риофлора,{'Нет ADR': 1},Плохой
ромашка,"{'Нет ADR': 8, 'Усталость': 1, 'Сомнолентность': 1}","Хороший, но есть ADR"
санвал,"{'Нет ADR': 38, 'Заложенность носа': 1, 'Астения': 1, 'Нарушение мозгового кровообращения': 1, 'Головокружение': 2, 'Тиннитус': 2, 'Расстройство зрения': 1}",Плохой
седавит,"{'Головокружение': 1, 'Нет ADR': 15, 'Повышенная температура тела': 1, 'Першение в горле': 1, 'Заложенность носа': 1, 'Астения': 1}","Хороший, но есть ADR"
седасен форте,{'Нет ADR': 13},Хороший
селанк,"{'Нет ADR': 15, 'Ринорея': 2, 'Кашель': 2}","Хороший, но есть ADR"
семакс,"{'Нет ADR': 19, 'Ринорея': 2, 'Повышенная температура тела': 1}","Хороший, но есть ADR"
септефрил,{'Нет ADR': 1},Плохой
синупрет,{'Нет ADR': 2},Плохой
сироп шиповника,{'Нет ADR': 8},Хороший
сомнол,"{'Нет ADR': 29, 'Пирексия': 1, 'Кашель': 1, 'Профилактика': 1}",Плохой: частные побочные реакции
сондокс,"{'Нет ADR': 25, 'Чувство жжения': 2, 'Оральный герпес': 2}",Плохой: не помогает
сонмил,"{'Нет ADR': 135, 'Аногенитальные бородавки': 3, 'Ринорея': 3, 'Повышенная температура тела': 1, 'Профилактика': 1}",Плохой: частные побочные реакции
спрегаль,{'Нет ADR': 10},Хороший
стопгрипан,"{'Нет ADR': 17, 'Ринорея': 1, 'Кашель': 1, 'Повышенная температура тела': 3}",Плохой: частные побочные реакции
стрепсилс,"{'Ринорея': 3, 'Заложенность носа': 2, 'Нет ADR': 9}","Хороший, но есть ADR"
стугерон,"{'Нет ADR': 12, 'Профилактика': 1}",Плохой
сульфадиметоксин,"{'Нет ADR': 20, 'Профилактика': 2}",Плохой: частные побочные реакции
супрастин,"{'Нет ADR': 12, 'Профилактика': 1, 'Чихание': 1, 'Ринорея': 1}","Хороший, но есть ADR"
тантум верде,"{'Нет ADR': 2, 'Стресс': 2}",Плохой
таурин,{'Нет ADR': 9},Хороший
тенотен,"{'Нет ADR': 176, 'Стресс': 2, 'Конверсионное расстройство': 1, 'Нервозность': 3, 'Нарушение засыпания': 1, 'Профилактика': 1, 'Назофарингит': 1, 'Чувство тревоги': 1, 'Бессонница': 1, 'Низкое качество сна': 1, 'Сниженное настроение': 1}","Хороший, но есть ADR"
тенотен детский,"{'Нет ADR': 78, 'Профилактика': 2, 'Пирексия': 2, 'Озноб': 1, 'Миалгия': 1}",Плохой: частные побочные реакции
тенториум,{'Нет ADR': 2},Плохой
терафлю,"{'Нет ADR': 67, 'Бессонница': 1, 'Нервозность': 2}","Хороший, но есть ADR"
тилорон,"{'Нет ADR': 7, 'Зуд': 1}",Плохой: частные побочные реакции
тималин,"{'Вагинальные выделения': 1, 'Нет ADR': 3}",Плохой
тонзилгон н,"{'Нет ADR': 68, 'Профилактика': 2, 'Конверсионное расстройство': 3, 'Рвота': 1, 'Нарушение со стороны иммунной системы': 1}",Плохой: частные побочные реакции
трентал,"{'Нет ADR': 23, 'Воспаление': 3, 'Боль': 1, 'Боль внизу живота': 2}",Плохой: частные побочные реакции
тривалумен,"{'Нет ADR': 11, 'Воспаление': 1}","Хороший, но есть ADR"
фармацитрон,{'Нет ADR': 6},Плохой
фармацитрон форте,"{'Боль в животе': 1, 'Нет ADR': 26}","Хороший, но есть ADR"
феназепам,"{'Нет ADR': 41, 'Профилактика': 1}","Хороший, но есть ADR"
фенибут,"{'Нет ADR': 76, 'Повышенная температура тела': 2, 'Озноб': 1, 'Головная боль': 1, 'Артралгия': 1, 'Заложенность носа': 1, 'Боль в ротоглотке (орофарингеальная)': 1}",Плохой: частные побочные реакции
фенилэфрин,{'Нет ADR': 6},Плохой: частные побочные реакции
фенистил,"{'Нет ADR': 18, 'Бессонница': 1, 'Недомогание': 1}","Хороший, но есть ADR"
фенистил пенцивир,{'Нет ADR': 5},Плохой: не помогает
фенобарбитал,{'Нет ADR': 7},Хороший
фервекс,"{'Нет ADR': 12, 'Отечность глаз': 1}",Плохой: не помогает
физраствор,{'Нет ADR': 2},Плохой
фитолизин,{'Нет ADR': 2},Плохой
