Drug,ADR_all,ADR_top5,Quality,Fold
ингавирин,Головокружение; Повышение артериального давления; Головная боль; Гиперчувствительность; Тошнота; Синдром ряби в глазах; Кашель; Астения; Боль в глазу; Ощущение тревоги; Расстройство сна; Абдоминальный дискомфорт; Патология желудочно-кишечного тракта; Цистит; Диарея; Боль в верхних отделах живота; Пирексия; Частота сердечных сокращений выше нормы; Астигматизм; Тиннитус; Дезориентация; Дерматит аллергический; Заложенность носа; Дисфония; Дискомфорт; Одышка; Эритема глотки; Трахеит; Острый синусит,Головокружение; Повышение артериального давления; Головная боль; Гиперчувствительность; Тошнота,"плохой, не помогает",4
глиатилин,Колебания артериального давления; Астения; Почечная недостаточность; Нарушение обмена веществ; Плаксивость; Агрессия; Напряженность мышц; Ажитация; Подергивание мышц; Мутизм; Бессонница; Мышечные спазмы; Расстройство сна,Колебания артериального давления; Астения; Почечная недостаточность; Нарушение обмена веществ; Плаксивость,"плохой, не помогает",1
персен,Сомнолентность; Головокружение; Боль в верхних отделах живота; Гиперчувствительность; Переносимость препарата; Кашель; Увеличение количества мокроты; Асфиксия; Сухость во рту; Расстройство зрения; Снижение артериального давления; Головная боль; Акародерматит; Нервозность; Раздражительность,Сомнолентность; Головокружение; Боль в верхних отделах живота; Гиперчувствительность; Переносимость препарата,"плохой, не помогает",1
аквирин рино,Кровоизлияние,Кровоизлияние,плохой,3
афобазол,Сомнолентность; Апатия; Переносимость препарата; Головокружение; Головная боль; Раздражительность; Чувство угнетения; Астения; Озноб; Вялость; Состояние спутанности сознания; Настроение измененное; Зависимость; Нервозность; Заложенность уха; Тиннитус; Мутизм; Увеличение веса; Гиперчувствительность; Акародерматит; Низкое качество сна; Кошмары; Абдоминальный дискомфорт; Ощущение жара; Седативное состояние; Тахикардия; Безразличие; Нарушение внимания; Задержка мочи; Боль в животе; Повышение артериального давления; Сердцебиение; Крапивница; Темные круги под глазами; Снижение аппетита; Расстройство сна; Диспепсия; Агрессия; Чувство тревоги; Абстинентный синдром; с давлением появились проблемы,Сомнолентность; Апатия; Переносимость препарата; Головокружение; Головная боль,"плохой, не помогает",1
линекс для детей,,,хороший,1
вакцина туляремийная живая,,,хороший,1
тулярин,,,хороший,5
виферон,"Гиперчувствительность; Сыпь; Сыпь, макулезная; Зуд; Диарея; Боль в животе; Расстройство поведения; Эритема; Ректальное кровоизлияние; Боль; Чувство жжения; Бессонница; Патология желудка; Приливы крови; Периорбитальная отечность; Сыпь век; Кожное раздражение; Артралгия; Крапивница; Периферический отек; Артрит, аллергический; Вывих сустава; Повышенная температура тела; Пирексия; Отрыжка детского возраста; Конверсионное расстройство; Нежелательная лекарственная реакция; Дискомфорт в голове; Головная боль; Отрыжка; Вздутие живота; Стенокардия; Сыпь, эритематозная; Частая дефекация; Дерматит; Сомнолентность; Зуд в носу; Гиперсекреторное слезоотделение; Дискомфорт в аноректальной области","Гиперчувствительность; Сыпь; Сыпь, макулезная; Зуд; Диарея","плохой, не помогает",3
аквалор беби,Плач,Плач,"хороший, но есть побочные реакции",4
аквалор,Сыпь; Гипакузия; Ушная инфекция; Плач; Сухость в носу,Сыпь; Гипакузия; Ушная инфекция; Плач; Сухость в носу,"хороший, но есть побочные реакции",4
флуоксетин,Снижение аппетита; Сомнолентность; Снижение веса; Плохое самочувствие; Апатия; Паническая реакция; Диспепсия; Бедность эмоций; Депрессия; Безразличие; Уплощение аффекта; Головокружение; Состояние спутанности сознания; Прилив жара; Дискомфорт в голове; Чувство опьянения; На следующий день проснулась в 16 часов; Зуд; проблемы с ЖКХ; Паранойя; Бессонница; Суицидальные мысли; Тремор; Сердцебиение; Переносимость препарата; Чувство дискомфорта в груди; Диарея; Патология желудочно-кишечного тракта,Снижение аппетита; Сомнолентность; Снижение веса; Плохое самочувствие; Апатия,"плохой, частые побочные реакции",2
палора,,,"плохой, не помогает",4
иммунал,"Крапивница; Сыпь; Гиперчувствительность; Сыпь, макулезная; Эритема; Зуд","Крапивница; Сыпь; Гиперчувствительность; Сыпь, макулезная; Эритема","плохой, не помогает",4
анаферон,Диарея; Гиперчувствительность; Повышенная температура тела; Стенокардия; Тошнота; Плач; Стенание; Астения; Температура тела ниже нормы; Сыпь,Диарея; Гиперчувствительность; Повышенная температура тела; Стенокардия; Тошнота,"плохой, не помогает",2
анаферон детский,"Гиперчувствительность; Сыпь; Повышенная температура тела; Тошнота; Сыпь, макулезная; Плач; Стенание; Астения; Температура тела ниже нормы; Пирексия; Сомнолентность; Ринорея; Чувство жжения","Гиперчувствительность; Сыпь; Повышенная температура тела; Тошнота; Сыпь, макулезная","плохой, не помогает",4
бальзам золотая звезда,Эксфолиация кожи; Гипестезия; Похмелье; Вялость; Головокружение; Сыпь; Нарушение походки,Эксфолиация кожи; Гипестезия; Похмелье; Вялость; Головокружение,"хороший, но есть побочные реакции",5
тенотен детский,Гиперчувствительность; Сыпь; Агрессия; Расстройство поведения; Вялость; Перепады настроения; Апатия; Нарушение засыпания; Нервозность; Раздражительность,Гиперчувствительность; Сыпь; Агрессия; Расстройство поведения; Вялость,"плохой, не помогает",1
ацикловир,Головная боль; Астения; Нежелательная лекарственная реакция; Нарушение со стороны печени; Крапивница; Зуд; Гиперчувствительность; Отек; Сухая кожа; Чувство жжения; Эксфолиация кожи; Дерматит аллергический; Диарея; Рвота; Тошнота; Задержка мочи; Сомнолентность; Переносимость препарата,Головная боль; Астения; Нежелательная лекарственная реакция; Нарушение со стороны печени; Крапивница,"хороший, но есть побочные реакции",4
фенистил,"Гиперчувствительность; Сыпь; Патология капилляров; Отек; Нарушение походки; Астения; Дискомфорт в конечностях; Пирексия; Сыпь, макулезная; Зуд; Сомнолентность; Повышенная температура тела",Гиперчувствительность; Сыпь; Патология капилляров; Отек; Нарушение походки,плохой,4
фенистил пенцивир,,,"плохой, не помогает",3
мелаксен,Сомнолентность; Головная боль; Кошмары; Сердцебиение; Астения; Боль; Паническая реакция; Необычные сновидения; Стенокардия; Головокружение; Дискомфорт в голове; Повышение артериального давления; Расстройство зрения; Увеличение веса; Нарушение со стороны почек; Почка Пейджа; Мурашки по коже; Пирексия; Страх; Вялость; Переносимость препарата; Частота сердечных сокращений выше нормы; Тиннитус; Тошнота; Снижение уровня сознания; Задержка мочи; Состояние спутанности сознания; Боль в животе; Отек; Агрессия; Суицидальные мысли; Сухость во рту; Чувство опьянения; Плохое самочувствие,Сомнолентность; Головная боль; Кошмары; Сердцебиение; Астения,плохой,4
de-nol,Сенсорное расстройство; Увеличение веса; Запор; Рвота; Тошнота,Сенсорное расстройство; Увеличение веса; Запор; Рвота; Тошнота,"плохой, частые побочные реакции",1
де-нол,Тошнота; Сенсорное расстройство; Увеличение веса; Запор; Рвота,Тошнота; Сенсорное расстройство; Увеличение веса; Запор; Рвота,"плохой, частые побочные реакции",3
амиксин,"Гиперчувствительность; Головокружение; Зуд; Сыпь; Тошнота; Крапивница; Отек лица; Головная боль; Нежелательная лекарственная реакция; Сердцебиение; Диарея; Астения; Инфекция, вызванная вирусом герпеса; Панкреатит острый; Пирексия; Сухость во рту; Паническое расстройство; Потеря сознания; Анафилактический шок; Одышка; Афазия; Нарушение со стороны печени; Снижение веса; Боль в животе; Сыпь, макулезная; Дерматит аллергический; Сыпь, эритематозная; Лимфаденопатия; Боль в верхних отделах живота; Диспепсия; Абдоминальный дискомфорт; Алопеция; Повышение артериального давления; Вялость; Отек; Чувство тревоги; Рвота; Гиперчувствительность к лекарственному препарату; Стенокардия; Отклонения от нормы артериального давления; Эритема; Кашель; Почечная боль; Проверка внутриглазного давления; Расстройство зрения; Отравление",Гиперчувствительность; Головокружение; Зуд; Сыпь; Тошнота,плохой,1
имунорикс,Гиперчувствительность; Дерматит аллергический; Геморрагический васкулит,Гиперчувствительность; Дерматит аллергический; Геморрагический васкулит,"плохой, не помогает",3
хилак-форте,Дисбиоз; Патология желудочно-кишечного тракта; Головная боль; Функциональная желудочно-кишечная патология; Тиннитус; Сухая кожа; Сомнолентность; Снижение аппетита; Тошнота; Сухость во рту,Дисбиоз; Патология желудочно-кишечного тракта; Головная боль; Функциональная желудочно-кишечная патология; Тиннитус,"плохой, частые побочные реакции",5
линкомицин,Патология желудочно-кишечного тракта; Дисбиоз,Патология желудочно-кишечного тракта; Дисбиоз,"плохой, частые побочные реакции",4
лизиноприл,Колебания артериального давления; Кашель,Колебания артериального давления; Кашель,"плохой, частые побочные реакции",3
римантадин,"Головокружение; Гиперчувствительность; Сыпь; Зуд; Сомнолентность; Задержка менструации; Тошнота; Снижение аппетита; Боль; Рвота; Головная боль; Сухость во рту; Частота сердечных сокращений выше нормы; Чувство тревоги; Сердцебиение; Расстройство зрения; Менструальное нарушение; Боль в животе; Снижение уровня сознания; Переносимость препарата; Астения; Одышка; Нарушение сердечной деятельности; Стенокардия; Нежелательная лекарственная реакция; Недомогание; Сыпь, макулезная",Головокружение; Гиперчувствительность; Сыпь; Зуд; Сомнолентность,"плохой, не помогает",1
ангрикапс,,,хороший,5
иммунофлазид,Сыпь; Патология желудочно-кишечного тракта; Гиперчувствительность; Диарея,Сыпь; Патология желудочно-кишечного тракта; Гиперчувствительность; Диарея,"хороший, но есть побочные реакции",3
циннаризин,Сомнолентность; Неусидчивость; стал активней; Головная боль; Нервозность; Тошнота; Боль в животе; Переносимость препарата,Сомнолентность; Неусидчивость; стал активней; Головная боль; Нервозность,"плохой, частые побочные реакции",5
амизон,Дисгевзия; Рвота; Гиперчувствительность; Диарея; Снижение аппетита; Головная боль; Сыпь; Тошнота; Боль в верхних отделах живота; Абдоминальный дискомфорт; Гипотиреоидизм; Боль в животе; Гнойные выделения; Одышка; Вздутие живота; Недомогание; Нарушение со стороны поджелудочной железы; Дисбиоз; Чувство угнетения; Тиннитус; Раздражительность; Гиперсекреторное слезоотделение; Флатуленция; Нервозность; Нетипичные шумы желудочно-кишечного тракта; Пиодермия,Дисгевзия; Рвота; Гиперчувствительность; Диарея; Снижение аппетита,"плохой, не помогает",4
диаскинтест,Образование синяков в месте инфузии,Образование синяков в месте инфузии,"плохой, частые побочные реакции",5
бцж,Образование синяков в месте инфузии; Повышенная температура тела,Образование синяков в месте инфузии; Повышенная температура тела,"плохой, частые побочные реакции",3
artra,Гастрит; Боль в животе; Абдоминальный дискомфорт,Гастрит; Боль в животе; Абдоминальный дискомфорт,плохой,5
артру,Гастрит; Боль в животе; Абдоминальный дискомфорт,Гастрит; Боль в животе; Абдоминальный дискомфорт,плохой,1
гидазепам,Переносимость препарата; Мальформация конечности; Тератогенность; Патология плода; Снижение либидо; Состояние спутанности сознания; Сомнолентность,Переносимость препарата; Мальформация конечности; Тератогенность; Патология плода; Снижение либидо,"плохой, частые побочные реакции",1
эглонил,Апатия; Сомнолентность; Переносимость препарата; проблемы с сердцебиением; Задержка овуляции; Тахикардия; Задержка менструации; Одышка; Стенокардия; Нежелательная лекарственная реакция; Чувство дискомфорта в груди; Увеличение веса; Агрессия; Вялость; Психомоторная гиперактивность; Раздражительность; Низкое качество сна; Чувство тревоги; Депрессия; Страх; Головокружение; Дискомфорт в конечностях; Расстройство зрения; Повышение уровня пролактина в крови; Повышенная послеродовая лактация,Апатия; Сомнолентность; Переносимость препарата; проблемы с сердцебиением; Задержка овуляции,"плохой, частые побочные реакции",3
