indication,drugs,drugs_top5,drugs_best,fold
Алопеция,пантовигар; perfectil; перца стручкового настойка; настойка перца стручкового; миноксидит; minoxidil; пивные дрожжи; билобил форте; льняное масло; волвит; цинктерал; пренатал; омепразол; компливит кальций д3; компливит кальций д3 форте; кальцид + магний; иммуджен; витамин е; витрум; метипред; преднизолон; димедрол; омез; перфектил,пантовигар; perfectil; перца стручкового настойка; настойка перца стручкового; миноксидит,льняное масло; волвит,5
Папилломавирусная инфекция,генферон; протефлазид; изопринозин,генферон; протефлазид; изопринозин,нет хороших лекарств,3
Ринорея,"аквалор беби; ринофлуимуцил; аква марис; аквалор; гриппферон; виферон; бальзам золотая звезда; ирс 19; интерферон; ксимелин; анаферон; анаферон детский; оксолин; ингавирин; кагоцел; парацетамол; афлубин; аквалор беби мягкий душ; називин; антигриппин; иммунал; эргоферон; генферон лайт; натрия хлорид раствор; протаргол; амиксин; римантадин; иммунофлазид; колдрекс; ринза; амизон; орвирем; нафтизин; лаферобион; вазелин; деринат; пиносол; интерферон альфа-2b; интерферон альфа; аквалор норм; гропринозин; изопринозин; хьюмер; терафлю; ксилометазолин; санорин; снуп; арбидол; анвимакс; аскорбиновая кислота; кипферон; гриппостад; комбигрипп; виброцил; максиколд рино; полиоксидоний; хелпекс антиколд; фервекс; колдрекс максгрипп; викс актив симптомакс; vicks active sinex; нурофен; изофра; риностоп; кальция глюконат; ацетилцистеин; ринзасип; асинис; вокара; сульфадиметоксин; тофф плюс; назоферон; циклоферон; флюколд; фармацитрон; назаваль; колдакт флю плюс; ринонорм; аква марис детский; масле чайного дерева; лавандовом; пихтовое масло; ликопид; назонекс; нокспрей; зодак; физраствор; др. тайсс; dr.theiss; аквирин рино; ромашка; антифлу детский; антигриппин максимум; лемсип лимон; парацетомол; имудон; колдрекс хотрем; синупрет; фенилэфрин; чистонос спрей; отривин; тонзилгон н; инфлюцид; доктор мом; эвкабал; максиколд; азитромицин; антигриппин детский; ацц; ксимелин эко; ксилометазолина гидрохлорид; шиповника сироп; стопгрипан форте; эхинацеи настойка; тамифлю; лоратадин; гипорамин; гриппофлю; гриппофлю экстра; риниколд; новирин; сиалор; витамин с; ципромед; диазолин; пневмо 23; хиберикс; энгистол; инфагель; генферон; полидекса; тавегил; эвкасепт; фарингосепт; цитрину; протефлазид; эдем; cold in cough; биопарокс; фервекс для детей; эреспал; имунорикс; инсти; зинат; аквалор форте; норм; форте; орвиколд; cold balm; ксимелин детский; heplex breath; хлорфенамин; экстракт календулы; экстракт алоэ жидкий; витамин а; арбидол максимум; цитовир-3; тенториум; флемоксин; эхинацея; бронхомакс; нолгрипп; атомером; амоксициллин; ментол; масло эвкалипта; камфора; антифлу; нурофен для детей; парацетамол детский; стопгрипан; ваксигрип; инфлювак; амбробене; ацц ; геломиртол; аквалор норм струя; фенирамин; тафен назаль; тафен; ацикловир; гриппоцитрон хот ""лимон""; грипаут; гриппол плюс; ксизал; экстракт эхинацеи; бактериофаг; смекта; лавомакс; африн; таурин; синуслифт; галазолин; нафазолин; авамис; биоарон с; флюконазол; перекись водорода; донормил; граммидин с анестетиком нео; альгирем(орвирем); йод; септолете; цитрамон; дезлоратадин; цетиризин-тева; сумамед; кромогексал; аэрус; антигриппин анви; ринорус; аспирин; эриспирус; геделикс; капотен",аквалор беби; ринофлуимуцил; аква марис; аквалор; гриппферон,"аквалор беби мягкий душ; вазелин; пиносол; интерферон альфа-2b; интерферон альфа; аквалор норм; хьюмер; гриппостад; кальция глюконат; асинис; вокара; колдакт флю плюс; аква марис детский; масле чайного дерева; лавандовом; парацетомол; имудон; фенилэфрин; чистонос спрей; доктор мом; эвкабал; максиколд; шиповника сироп; стопгрипан форте; гриппофлю; гриппофлю экстра; хиберикс; инфагель; cold in cough; биопарокс; фервекс для детей; инсти; cold balm; ксимелин детский; хлорфенамин; экстракт календулы; экстракт алоэ жидкий; витамин а; нолгрипп; атомером; ментол; масло эвкалипта; камфора; гриппоцитрон хот ""лимон""; экстракт эхинацеи; альгирем(орвирем)",3
Нарушение мозгового кровообращения,пирацетам; трентал; танакан; омарон; семакс; меmoria; циннаризин; пантогам; кавинтон; кавинтон форте; глицин; мексидол; нобен; нейромультивит; пентоксифиллин; нейрокс; фезам; билобил форте; фенотропил,пирацетам; трентал; танакан; омарон; семакс,танакан,4
Угри,"базирон; ацикловир; базирон ас"" 5%; клензит; дифферин; differin; регецин; скинорен; трентал; фенистил; фенистил пенцивир; азелаиновая кислота; зинерита; акнестоп; базирон ас; сотрет; пантенол; ацикловир белупо; бензилбензоат; бадяга форте; мяты перечной; цинктерал; изотроин 20; эффезел; тетрациклин; паста цинковая; цинковая мазь; цинковая паста; трихопол; зеркалин; бадяга; дюфастон; ретиноевая мазь; nivea; био-макс; берокка плюс; акнекутан; лавакол; фортраст","базирон; ацикловир; базирон ас"" 5%; клензит; дифферин",паста цинковая; цинковая мазь; цинковая паста,2
Мигрень,пантогам; валериана; нобен,пантогам; валериана; нобен,нет хороших лекарств,5
Снижение уровня гемоглобина,мальтофер; сорбифер; феррум; ферретаб; вифор мальтофер; витамин б12; тотема; железо; фолиевая кислота; ферлатум; totema,мальтофер; сорбифер; феррум; ферретаб; вифор мальтофер,нет хороших лекарств,1
Пирексия,парацетамол; нурофен; ингавирин; виферон; эргоферон; кагоцел; антигриппин; амиксин; цефекон д; парацетамол детский; эффералган; афлубин; изопринозин; генферон лайт; арбидол; анаферон; тамифлю; ибуфен д; колдрекс; гриппостад; римантадин; лавомакс; аскорбиновая кислота; деринат; гексорал; ибуфен; новирин; анвимакс; гропринозин; антигриппин анви; инфлювак; анаферон детский; антигриппин максимум; азитромицин; гриппферон; ликопид; интерферон альфа-2b; окавакс; ацетилсалициловая кислота; ринза; димедрол; анальгин; гриппол плюс; амоксициллин; генферон; йод; септолете; фарингосепт; цитрамон; иммунофлазид; амизон; колдрекс хотрем; лидокаин; цеф iii; колдрекс максгрипп; лимон; комбигрипп; цераксон; кортексин; церебролизат; амоксиклав; ромашка; лаферобион; полиоксидоний; терафлю; ирс 19; ацикловир; эдем; флюколд; тонзилгон н; аквалор; панавир; панавир инлайт; ангримакс; орвиколд; альтевир; флемоксин; ангрикапс; натрия аскорбат; ваксигрип; хелпекс антиколд; иммунал; имунорикс; акдс; линкас орви; орви колд; имудоном; аскорил; дюфалак; сиофор; таурин; master herb; зинат; клацид; супрастин; панадол; максиколд рино; фервекс для детей; аспартам; фервекс; нурофен для детей; беталок зок; кордалоном; ибуфен д для детей,парацетамол; нурофен; ингавирин; виферон; эргоферон,гриппостад; интерферон альфа-2b; лимон; ангрикапс; натрия аскорбат; линкас орви; орви колд; фервекс для детей; аспартам,1
Эритема,ацикловир; панавир; панавир инлайт; гидрокортизон; тавегил; панавир интим; седасен; седасен форте; виаль; нормакс; визин; скинорен; календула; l-тироксин берлин-хеми; фенистил; фенистил пенцивир; цетрилев; антигриппин; виалем; пантенол; panthenol forte с каротином; супрастин; фурацилин; деринат; эргоферон; ацикловир белупо; аквалор беби; аквалор; белосалик; зинат; hydrocortisone; эспумизан; риабал; систейн,ацикловир; панавир; панавир инлайт; гидрокортизон; тавегил,панавир интим; седасен,4
Нарушение со стороны иммунной системы,ацикловир; интерферон; гриппферон; ингавирин; эхинацея; иммунал; интерферон альфа; виферон; ацикловир форте; галавит; анаферон; анаферон детский; изопринозин; панавир; панавир интим; панавир инлайт; полиоксидоний; натрия хлорид раствор; лаферобион; новирин; анвимакс; антигриппин; гриппостад; грипаут; меркурид; лавомакс; ликопид; тавегил; эхинацеи настойка; парацетамол; антигриппин максимум; амиксин; кагоцел; эсберитокс; протефлазид; азитромицин; сафоцид; амоксиклав; спиртовой раствор; герпевир; зовиракс; генферон; иммунофлазид; зиртек; цетрин,ацикловир; интерферон; гриппферон; ингавирин; эхинацея,интерферон альфа; галавит; панавир интим; гриппостад; меркурид; эсберитокс; сафоцид; спиртовой раствор; герпевир; зовиракс,1
Зуд,ацикловир; супрастин; фенистил пенцивир; бензилбензоат; календула; лоратадин; сульсен; спрегаль; тридерм; полижинакс; фенистил; антигриппин; зовиракс; вобэнзим; аллергодил; белосалик; амиксин; кандид б; тавегил; панавир; панавир интим; панавир инлайт; фуцис; пимафуцин; смекта; ацикловир форте; эуфиллин; кетотифен; седасен; седасен форте; гидрокортизон; виферон; азинтроп; флоксал; тобрекс; кагоцел; ксизал; живокост (босвелия; живокости с пчелиным ядом; нитроксолин; 5 нок; бальзам золотая звезда; гриппферон; гемороль; зиртек; paranix; зодак; донормил; бриллиантовый зеленый; тержинан; эмолиум п; бепантен,ацикловир; супрастин; фенистил пенцивир; бензилбензоат; календула,зовиракс; панавир интим; седасен,3
Выделения,полижинакс; панавир; панавир интим; панавир инлайт; фуцис; пимафуцин; бетадин; генферон; дюфастон; тержинан,полижинакс; панавир; панавир интим; панавир инлайт; фуцис,панавир интим,2
Периферический отек,фуросемид; панангин; аспаркам; фастум гель; матарен плюс; виферон; инлайт; преднизолон; лоратадин; календула,фуросемид; панангин; аспаркам; фастум гель; матарен плюс,нет хороших лекарств,3
Повышение артериального давления,эналаприл; лориста; индапамид; аспаркам; капотен; кардофлекса; физиотензом; винпоцетин; кавинтон; конкор; папазол; арифон ретард; ретард; арифон; энап; лозап; бисопролол; невотенз; дальнева; фуросемид; анаприлин; диротон; гидазепам; мексидол; леркамен; эгилок; коронал; панангин; лизиноприл; пустырник; корвалол; дексаметазон; гипотиазид; раунатин; фосфоглив; цитрамон; паксил; пароксетин; вальсакор; фенибут; семакс; таурин; нольпаза; метилдопа; допегит; нифедипин; коринфар; кремний; амлодипин; алотендин; натрий; магний; тонорма; каптоприл; донормил; лозартан; кленбутерол,эналаприл; лориста; индапамид; аспаркам; капотен,нет хороших лекарств,2
Отек,фуросемид; супрастин; лоратадин; ринофлуимуцил; диклофенак; наклофен; назоферон; l-лизина эсцинат; аквалор душ; тантум верде; звездочка-карандаш; арбидол; виброцил; анаферон детский; ксилометазолин; панангин; аспаркам; генферон лайт; ксимелин; амиксин; нормакс; кетопрофен; кетонал; кетоналовых; аллергодил; дексаметазон; омез; аллергозан; бадяга форте; бадяга; авамис; назонекс; др. тайсс; dr.theiss; эвкабал бальзам с; эвкабал; кофол; доктор мом,фуросемид; супрастин; лоратадин; ринофлуимуцил; диклофенак,эвкабал бальзам с; эвкабал; кофол; доктор мом,4
Низкое качество сна,глицин; пантогам; тенотен детский; ключи здоровья; пустырник; киндинорм; тенотен; мелаксен; вечернее биокор драже; фенибут; афобазол; rainbow light prenatal one; аква марис; сонмил; мелатонин; эргоферон; парацетамол; донормил; пиона уклоняющегося настойка; валериана; валарианахель; пассамбра эдас-306; гидазепам; паксил; пароксетин; сомнол; зопиклон; пустырника настойка; циннаризин; цитрамон,глицин; пантогам; тенотен детский; ключи здоровья; пустырник,ключи здоровья; киндинорм,4
Эритема глотки,тонзилгон н; виферон; анаферон; анаферон детский; интерферон; мирамистин; ингалипт; панавир; панавир инлайт; амиксин; афлубин; генферон лайт; генферон; гропринозин; исмижен; календула; ромашка; эргоферон; парацетамол; максиколд рино; максиколд; аквалор; назоферон; иммунофлазид; лаферобион; ликопид; сумамед; сульфадиметоксин; фенистил; флемоклав солютаб; ваксигрип; инфлювак,тонзилгон н; виферон; анаферон; анаферон детский; интерферон,максиколд,4
Боль в ротоглотке (орофарингеальная),"граммидин с анестетиком нео; тонзилгон н; парацетамол; антигриппин; ингавирин; стрепсилс; кагоцел; лемсип лимон; анвимакс; римантадин; виферон; эргоферон; септолете; колдрекс; колдрекс хотрем; амизон; ингалипт; фервекс; азитромицин; йод; лидокаин; витамин с; фарингосепт; кальция глюконат; аскорбиновая кислота; йокс; горлоспас; панавир; панавир инлайт; гриппферон; хелпекс антиколд; ринза; ромашка; ринзасип; терафлю; strepsils; деринат; флюколд; анаферон; гриппоцитрон хот ""лимон""; арбидол; грипаут; цитрамон; новирин; ибуфен д; ибуфен д для детей; ацетилсалициловая кислота; cold in cough; пенициллин; хлогексидин; лимон; бальзам золотая звезда; антигриппин максимум; календула; ринзасип с витамином с; синупрет; афлубин; эвкабал бальзам с; эвкабал; циклоферон; оралсепт; стрептоцид; арбидол максимум; лемсип макс; амизон макс; азибиот; трависилом; кора дуба; тысячелистника трава; одуванчика лекарственного трава; хвоща трава; цефекон д; нурофен; гексорал; ацц; люголь; альтабор; нолгрипп; антифлу; антифлу детский; стопгрипан; фурацилин; фенибут; сафоцид; амоксиклав; линексом; амоксициллин; гипорамин; пневмо 23; анаферон детский; хиберикс; амиксин; лемсип черная смородина; назоферон; антигриппин анви; эреспал; сумамед; орасепта; ирс 19; аспирин; эриспирус; иммунал; метрогил; эхинацеи настойка",граммидин с анестетиком нео; тонзилгон н; парацетамол; антигриппин; ингавирин,"кальция глюконат; йокс; гриппоцитрон хот ""лимон""; cold in cough; лимон; ринзасип с витамином с; эвкабал бальзам с; эвкабал; кора дуба; тысячелистника трава; одуванчика лекарственного трава; хвоща трава; альтабор; нолгрипп; сафоцид; хиберикс; лемсип черная смородина",2
Плохое самочувствие,циннаризин; амитриптилин; антигриппин; спазмалгон; смекта; но-шпа; l-тироксин берлин-хеми; азитромицин; азибиот; мезим; лофлатил; лоперамид; капотен; эргоферон; кагоцел; дюфастон; метопролол; бисопролол; эриспирус,циннаризин; амитриптилин; антигриппин; спазмалгон; смекта,лофлатил,4
Недомогание,антигриппин; парацетамол; бальзам золотая звезда; ингавирин; гриппферон; амизон; валериана; терафлю; нобен; виферон; кагоцел; клотримазол; колдакт флю плюс; валокордин; пустырник; корвалол; сульфадиметоксин; меркурид; витамин с; циклоферон; флуоксетин; флу; феназепам; амоксиклав; римантадин; оралсепт; ингалипт; стрептоцид; стрепсилс; фенилэфрин; хлорфенамин; тофф плюс; ринза; ибупрофен; риниколд; антигриппин максимум; афлубин; ангрикапс; анаферон; перцовый пластырь; горчичник; парацетамол детский; анвимакс; азалептин; гипорамин; гриппостад; триджекс; оксолин; интерферон; энцефабол; сонмил; рексетин,антигриппин; парацетамол; бальзам золотая звезда; ингавирин; гриппферон,колдакт флю плюс; меркурид; фенилэфрин; хлорфенамин; ангрикапс; гриппостад,2
Депрессия,афобазол; валериана; тенотен; нобен; феназепам; мелаксен; деприм; глицисед; фенобарбитал; барбовал,афобазол; валериана; тенотен; нобен; феназепам,нет хороших лекарств,1
Кашель,"анаферон детский; анаферон; виферон; гриппферон; афлубин; пектолван; иммунофлазид; кагоцел; аскорил; геделикс; эргоферон; ингавирин; орвирем; амизон; арбидол; иммунал; амиксин; генферон лайт; эреспал; ацц; акдс; оксолин; ирс 19; эвкабал; ринза; терафлю; пертуссин; синекод; парацетамол; колдрекс; азитромицин; сульфадиметоксин; римантадин; лаферобион; бальзам золотая звезда; кипферон; интерферон альфа-2b; эвкабал бальзам с; инфлюцид; комбигрипп; тамифлю; амоксициллин; антигриппин; фенибут; генферон; тонзилгон н; энгистол; лангес; сумамед; гропринозин; антифлу детский; изопринозин; ринофлуимуцил; ринзасип с витамином с; ринзасип; синупрет; флюколд; лоратадин; циклоферон; азибиот; сингуляр; амоксиклав; шиповника сироп; эхинацеи настойка; эриспирус; ацетилцистеин; master herb; граммидин с анестетиком нео; назоферон; амброксол; аэрус; кофол; доктор мом; корня солодкового; леденцы лакричные; cold in cough; пенициллин; хлогексидин; halls; зинат; имудон; вазелин; нурофен; парацетамол детский; ромашка; эуфиллин; кетотифен; иммуноглобулин; деринат; отривин; вибуркол; хелпекс антиколд; цитовир-3; лазолван; зиртек; аквалор; флемоксин; цетрилев; бронхомакс; атомером; ментол; масло эвкалипта; камфора; фервекс; лавомакс; тилорон; антифлу; антигриппин детский; стопгрипан; доктор тайсс ""эвкалипт; амбробене; сироп солодкового корня; кларитромицин; гриппофлю; гриппофлю экстра; парацетомол; бромгексин 4 берлин хеми; имунорикс; арбидол максимум; линкас орви; орви колд; ацикловир; гриппол плюс; супракс солютаб; аква марис; настойка березовых почек; бактериофаг; смекта; таурин; полиоксидоний; донормил; линексом; флемоклав солютаб; авамис; назаваль; интерферон альфа; интерферон; настойку корня аира; настойка прополиса; антигриппин анви; анвимакс; антигриппин максимум; аспирин; бронхипрет; дезлоратадин; диазолин; цетиризин-тева; тералиджен",анаферон детский; анаферон; виферон; гриппферон; афлубин,"эвкабал; интерферон альфа-2b; эвкабал бальзам с; ринзасип с витамином с; шиповника сироп; кофол; доктор мом; cold in cough; имудон; вазелин; вибуркол; атомером; ментол; масло эвкалипта; камфора; доктор тайсс ""эвкалипт; гриппофлю; гриппофлю экстра; парацетомол; линкас орви; орви колд; интерферон альфа",1
Расстройство речи,цераксон; кортексин; энцефабол; глиатилин; когитум; новокаин; киндинорм; лецитин; кортексин для детей,цераксон; кортексин; энцефабол; глиатилин; когитум,новокаин; киндинорм; лецитин,3
Психомоторная гиперактивность,тенотен детский; глицин; валериана; кортексин; стратерра; глиатилин; палора; тенотен; фенибут; ново-пассит; феназепам; пустырника настойка; кортексин для детей; новокаин; сондокс; аминалон; сонапакс; фенобарбитал; барбовал; киндинорм; киндинорм н; магне b6; валидол; хлорпротиксен; амитриптилина гидрхлорид; рисперидон,тенотен детский; глицин; валериана; кортексин; стратерра,новокаин; киндинорм; киндинорм н,2
Раздражительность,валериана; глицин; афобазол; тенотен; персен; тенотен детский; пантогам; пустырник; глицисед; феназепам; атаракс; вечернее биокор драже; ново-пассит; сомнол; гидазепам; нейрокс; деприм; седавит; назаваль; мелисса; палора; сибазон; пустырника настойка; киндинорм; пиона уклоняющегося настойка; седасен форте; барбовал; леривон; донормил; бондормин; алора; ноотропил; мексидол; флуоксетин; флу; хлорпротиксен; глиатилин,валериана; глицин; афобазол; тенотен; персен,киндинорм; бондормин,4
Гнев,афобазол; валериана; персен; атаракс; глицин; седавит; тенотен,афобазол; валериана; персен; атаракс; глицин,нет хороших лекарств,5
Профилактика,анаферон детский; анаферон; афлубин; гриппферон; оксолин; виферон; иммунофлазид; амизон; иммунал; интерферон; римантадин; эргоферон; кагоцел; арбидол; ирс 19; орвирем; амиксин; интерферон альфа; эхинацея; ингавирин; гриппол плюс; генферон лайт; аквалор беби; арбидол максимум; генферон; аквалор беби мягкий душ; лавомакс; энгистол; инфлюцид; ваксигрип; тонзилгон н; протефлазид; инфагель; изопринозин; нурофен; циклоферон; имудон; эхинацеи настойка; лаферобион; тамифлю; аква марис; хьюмекс; аквалор; валвир; валериана; назоферон; ацикловир; бальзам золотая звезда; чистонос спрей; ринза; инфлювак; реленза; глицин; деринат; виброцил; имунорикс; метилурацил; амизон макс; цитовир-3; экстракт эхинацеи; новирин; экстракт календулы; йод; вазелин; антигриппин; терафлю; протаргол; називин; глицисед; сонапакс; полиоксидоний; супрастин; биоарон с; панавир инлайт; аллокин; аскорбиновая кислота; пневмо 23; хиберикс; этиловый спирт; аквирин рино; дикарбамин; витаглутама; гропринозин; атма; изотонический раствор очищенной морской воды; физраствор; пантенол; меркурид; агри; граммидин с анестетиком нео; парацетамол; иммуноглобулин; экстракт алоэ жидкий; витамин а; вибуркол; панадол; лазолван; зиртек; мирамистина; ангримакс; сульфацил; тантум верде; длянос; флавозид; шиповника сироп; изофра; полидекса; ринофлуимуцил; арпефлю; альтабор; назаваль; натрия аскорбат; интерферон альфа-2b; гексорал; ингалипт; гриппофлю; гриппофлю экстра; вормил; исмижен; вечернее биокор драже; колдакт флю плюс; регевак в; анвимакс; этанол; когитум; аспирин; бисакодил; нольпаза; омепразол; роза феникс; acidophilus; лемсип лимон; лемсип черная смородина; фарингосепт; полижинакс; бифидобактерии; риофлора; метронидазол; трихопол; активированный уголь; смекта; декарис; декарис детский; gnc women's ultra mega; орасепта; панавир; листьев дамианы; man's formula; зеленой мидии; цинк; корень женьшеня,анаферон детский; анаферон; афлубин; гриппферон; оксолин,интерферон альфа; аквалор беби мягкий душ; инфагель; имудон; хьюмекс; валвир; чистонос спрей; экстракт эхинацеи; экстракт календулы; вазелин; аллокин; хиберикс; этиловый спирт; изотонический раствор очищенной морской воды; меркурид; экстракт алоэ жидкий; витамин а; вибуркол; мирамистина; длянос; шиповника сироп; арпефлю; альтабор; натрия аскорбат; интерферон альфа-2b; гриппофлю; гриппофлю экстра; колдакт флю плюс; регевак в; acidophilus; лемсип черная смородина,1
