standart_names,ADR,Raiting
инфагель,{'Нет ADR': 27},Плохой: частные побочные реакции
инфлювак,{'Нет ADR': 13},Плохой
инфлюцид,"{'Нет ADR': 90, 'Ринорея': 2, 'Кашель': 2, 'Профилактика': 1, 'Боль в ротоглотке (орофарингеальная)': 2, 'Раздражение глаз': 1, 'Эритема': 1, 'Сенсорное расстройство': 1, 'Заложенность носа': 1, 'Головная боль': 1, 'Чихание': 1}",Плохой: не помогает
ирс 19,"{'Нет ADR': 179, 'Профилактика': 4, 'Повышенная температура тела': 2, 'Чихание': 1, 'Кашель': 2, 'Нервозность': 1, 'Ринорея': 3, 'Оральный герпес': 1, 'Ринит': 1, 'Отек': 1, 'Боль': 1}",Плохой: частные побочные реакции
исмижен,"{'Нет ADR': 19, 'Боль': 1, 'Профилактика': 1}",Плохой
йокс,{'Нет ADR': 2},Плохой
кавинтон,"{'Нет ADR': 17, 'Головная боль': 1}",Плохой
кавинтон форте,"{'Нет ADR': 21, 'Стресс': 1, 'Першение в горле': 1, 'Мочеточниковое кровоизлияние': 1}",Плохой: частные побочные реакции
кагоцел,"{'Спинальное субдуральное кровоизлияние': 1, 'Разрыв аневризмы аорты': 1, 'Нет ADR': 237, 'Повышение артериального давления': 1, 'Пирексия': 5, 'Боль в ротоглотке (орофарингеальная)': 2, 'Повышенная температура тела': 7, 'Кашель': 5, 'Ринорея': 3, 'Головная боль': 1, 'Профилактика': 1, 'Озноб': 1, 'Гиперсекреторное слезоотделение': 2, 'Раздражение глаз': 1, 'Головокружение': 1, 'Разрыв матки': 1, 'Дискомфорт': 1, 'Выделения': 1, 'Абдоминальный дискомфорт': 1}",Плохой: не помогает
кальция гопантенат,{'Нет ADR': 10},Хороший
киндинорм,{'Нет ADR': 4},Хороший
кипферон,"{'Нет ADR': 56, 'Повышенная температура тела': 1, 'Головная боль': 1, 'Боль': 1, 'Ринорея': 1}","Хороший, но есть ADR"
колдрекс,"{'Нет ADR': 75, 'Профилактика': 1, 'Боль кожных покровов': 1, 'Пирексия': 1, 'Боль в верхних отделах живота': 1}","Хороший, но есть ADR"
колдрекс максгрипп,"{'Нет ADR': 56, 'Профилактика': 2}","Хороший, но есть ADR"
колдрекс хотрем,"{'Нет ADR': 35, 'Профилактика': 3, 'Оральный герпес': 3, 'Нарушение со стороны иммунной системы': 1, 'Пузырь': 1}",Плохой: частные побочные реакции
колдфри,"{'Нет ADR': 18, 'Профилактика': 1, 'Повышенная температура тела': 2, 'Пирексия': 1, 'Мышечная слабость': 1, 'Головная боль': 1}",Плохой: не помогает
корвалдин,{'Нет ADR': 13},Плохой: частные побочные реакции
корвалол,"{'Нет ADR': 140, 'Бессонница': 1, 'Боль в ротоглотке (орофарингеальная)': 1, 'Повышенная температура тела': 3, 'Ринорея': 3, 'Профилактика': 2, 'Повышение уровня иммуноглобулина Е (IgE) в крови': 1, 'Нарушение со стороны слизистой носа': 1}",Плохой: частные побочные реакции
кортексин,"{'Нет ADR': 103, 'Рвота': 1, 'Ринорея': 1, 'Пирексия': 1, 'Кашель': 1, 'Отек лица': 2, 'Боль': 1, 'Повышенная температура тела': 1, 'Тиннитус': 2, 'Головная боль': 2}",Плохой: частные побочные реакции
кортексин для детей,"{'Нет ADR': 21, 'Стресс': 1}",Плохой: не помогает
кофол,"{'Нет ADR': 18, 'Вялость': 1, 'Кашель': 1, 'Ринорея': 1}",Плохой: частные побочные реакции
ксимелин,"{'Нет ADR': 32, 'Ринорея': 2, 'Профилактика': 2, 'Профилактика вирусных инфекций': 1}",Плохой: частные побочные реакции
лавомакс,"{'Нет ADR': 26, 'Ринорея': 3}","Хороший, но есть ADR"
лаферобион,"{'Нет ADR': 109, 'Паническая реакция': 1, 'Заложенность носа': 1, 'Ринорея': 1, 'Профилактика': 1, 'Пирексия': 2, 'Повышенная температура тела': 1}","Хороший, но есть ADR"
лецитин,{'Нет ADR': 2},Хороший
лизобакт,{'Нет ADR': 2},Плохой
ликопид,"{'Нет ADR': 56, 'Нервозность': 1}",Плохой: не помогает
лимон,"{'Нет ADR': 24, 'Хиропрактика': 1}",Плохой: частные побочные реакции
луцетам,"{'Нет ADR': 19, 'Ринорея': 2, 'Одышка': 1, 'Спайки в носу': 1, 'Припухлость глотки': 1}",Плохой: не помогает
люголь,{'Нет ADR': 1},Плохой
магне b6,{'Нет ADR': 1},Плохой
максиколд рино,"{'Нет ADR': 38, 'Профилактика': 4}","Хороший, но есть ADR"
мелаксен,"{'Нет ADR': 56, 'Кашель': 3, 'Головная боль': 1, 'Боль в ротоглотке (орофарингеальная)': 1, 'Боль': 1, 'Оральный герпес': 1, 'Угри': 3, 'Эритема': 1}",Плохой: частные побочные реакции
ментол,{'Нет ADR': 1},Плохой
назаваль,"{'Усталость': 2, 'Астения': 1, 'Нет ADR': 27}",Плохой: не помогает
назоферон,"{'Нет ADR': 30, 'Пирексия': 2}",Плохой: не помогает
натрия хлорид раствор,{'Нет ADR': 11},Хороший
нитроксолин,"{'Нет ADR': 37, 'Стоматит': 1, 'Ринорея': 1, 'Боль в ротоглотке (орофарингеальная)': 1}",Плохой: частные побочные реакции
новирин,"{'Профилактика': 7, 'Нет ADR': 40, 'Нарушение засыпания': 1}",Плохой: частные побочные реакции
ново-пассит,"{'Нет ADR': 5, 'Бессонница': 1}",Плохой: частные побочные реакции
новокаин,{'Нет ADR': 5},Плохой
ноотропил,"{'Нет ADR': 25, 'Чувство тревоги': 4, 'Стресс': 2, 'Паническая реакция': 1}","Хороший, но есть ADR"
носоль,"{'Чувство тревоги': 1, 'Нет ADR': 1}",Плохой
нурофен,"{'Стресс': 1, 'Нет ADR': 29, 'Заложенность носа': 4}",Плохой: частные побочные реакции
окавакс,{'Нет ADR': 19},Плохой: частные побочные реакции
оксолин,"{'Нет ADR': 250, 'Бессонница': 1, 'Астения': 1, 'Сыпь': 2, 'Чувство тревоги': 1, 'Раздражительность': 1, 'Паническая реакция': 1, 'CONCEPT_LESS': 1, 'Профилактика': 4, 'Пирексия': 2, 'Ринорея': 3, 'Повышенная температура тела': 1, 'Профилактика вирусных инфекций': 1}",Плохой: частные побочные реакции
орвиколд,"{'Нет ADR': 5, 'Ринорея': 1}",Плохой
орвирем,"{'Нет ADR': 83, 'Повышенная температура тела': 3, 'Ринорея': 1, 'Боль в ротоглотке (орофарингеальная)': 1}","Хороший, но есть ADR"
отипакс,{'Нет ADR': 15},Хороший
панавир,{'Нет ADR': 36},Плохой: частные побочные реакции
пантогам,"{'Нет ADR': 37, 'Нарушение со стороны иммунной системы': 1, 'Ринорея': 1, 'Чихание': 1, 'Профилактика': 1, 'Мышечные спазмы': 1}",Плохой: не помогает
парацетамол,"{'Нет ADR': 69, 'Нарушение мозгового кровообращения': 1, 'Головная боль': 1, 'Замкнутое поведение': 1, 'Колебания артериального давления': 1, 'Нервозность': 2, 'Ишемия желудочно-кишечного тракта': 1, 'Боль в верхних отделах живота': 1, 'Ринорея': 3, 'Кашель': 1, 'Астения': 1}",Плохой: частные побочные реакции
персен,"{'Нет ADR': 58, 'Астения': 1}","Хороший, но есть ADR"
персен форте,"{'Нет ADR': 14, 'Ринорея': 2, 'Заложенность носа': 1}","Хороший, но есть ADR"
пиона уклоняющегося настойка,"{'Нет ADR': 43, 'Нарушение работоспособности': 1, 'Напряженное состояние': 2, 'Расстройство сна': 1, 'Повышенная температура тела': 2, 'Боль в ротоглотке (орофарингеальная)': 2, 'Кашель': 1}",Плохой: не помогает
пирацетам,"{'Нет ADR': 39, 'Ринорея': 2, 'Кашель': 2, 'Профилактика': 2}",Плохой: частные побочные реакции
пневмо 23,"{'Нет ADR': 15, 'Повышенная температура тела': 2, 'Профилактика': 2}",Плохой: частные побочные реакции
полижинакс,"{'Нет ADR': 124, 'Раздражительность': 2, 'Нервозность': 1, 'Пирексия': 1, 'Кашель': 1, 'Ринорея': 2, 'Повышенная температура тела': 2, 'Нарушение со стороны иммунной системы': 1, 'Сухость в носу': 1, 'Профилактика': 2, 'Головная боль': 1, 'Рвота': 1}",Плохой: частные побочные реакции
полиоксидоний,"{'Бессонница': 2, 'Нет ADR': 18, 'Отечность в области сустава': 1, 'Боль': 1}",Плохой: не помогает
полисол,"{'Неусидчивость': 1, 'Нет ADR': 5}","Хороший, но есть ADR"
протаргол,{'Нет ADR': 1},Плохой
протефлазид,"{'Нет ADR': 22, 'Повышенная температура тела': 1, 'Головная боль': 1}",Плохой: не помогает
пустырник,"{'Нет ADR': 37, 'Профилактика': 4}",Плохой: частные побочные реакции
пустырника настойка,"{'Нет ADR': 2, 'Ринорея': 1}",Плохой
пустырника экстракт,"{'Нет ADR': 27, 'Ринорея': 1, 'Профилактика': 2}",Плохой: не помогает
регевак в,{'Нет ADR': 21},Плохой: частные побочные реакции
реладорм,{'Нет ADR': 5},Плохой: частные побочные реакции
римантадин,"{'Нет ADR': 202, 'Ринорея': 1, 'Повышенная температура тела': 3, 'Боль в верхних отделах живота': 3, 'Диарея': 1, 'Боль': 1, 'Патология желудка': 1, 'Профилактика': 2, 'Пирексия': 1, 'Нервозность': 1, 'Апатия': 1, 'Стресс': 1}",Плохой: частные побочные реакции
ринза,"{'Нет ADR': 51, 'Ринорея': 5, 'Профилактика': 2, 'Чихание': 1, 'Чувство тревоги': 1, 'Сердцебиение': 1, 'Головокружение': 1}","Хороший, но есть ADR"
ринзасип,"{'Нет ADR': 28, 'Стенокардия': 1, 'Паническая реакция': 1, 'Чувство тревоги': 3}",Плохой: не помогает
ринзасип с витамином с,"{'Нет ADR': 19, 'Ощущение тревоги': 1, 'Профилактика': 3}","Хороший, но есть ADR"
ринофлуимуцил,"{'Нет ADR': 121, 'Профилактика': 1, 'Кашель': 1, 'Ринорея': 2, 'Ощущение жара': 1, 'Отек слизистых оболочек': 1, 'Зуд в носу': 1, 'Усталость': 1, 'Сомнолентность': 1, 'Заложенность носа': 2, 'Астения': 1, 'Отклонение от нормы результатов исследований функций периферической нервной системы': 1, 'Головокружение': 2, 'Тиннитус': 2, 'Расстройство зрения': 1}",Плохой: частные побочные реакции
санвал,"{'Тиннитус': 1, 'Нет ADR': 28, 'Головокружение': 1, 'Повышенная температура тела': 1, 'Першение в горле': 1, 'Заложенность носа': 1, 'Астения': 1}",Плохой
седавит,"{'Нет ADR': 14, 'Ринорея': 2, 'Кашель': 2}",Плохой: частные побочные реакции
седасен форте,"{'Нет ADR': 15, 'Ринорея': 1}","Хороший, но есть ADR"
селанк,"{'Нет ADR': 21, 'Ринорея': 1, 'Повышенная температура тела': 1}","Хороший, но есть ADR"
семакс,"{'Нет ADR': 15, 'Повышенная температура тела': 1, 'Пирексия': 1}","Хороший, но есть ADR"
септефрил,{'Нет ADR': 2},Плохой
синупрет,{'Нет ADR': 1},Плохой
сомнол,"{'Нет ADR': 25, 'Кашель': 1, 'Профилактика': 2, 'Чувство жжения': 2, 'Пузырь': 2, 'Кожные трещины': 1, 'Кровоизлияние': 1}",Плохой: частные побочные реакции
сондокс,"{'Нет ADR': 25, 'Сыпь': 1, 'Аногенитальные бородавки': 3}",Плохой: частные побочные реакции
сонмил,"{'Нет ADR': 147, 'Ринорея': 5, 'Повышенная температура тела': 5, 'Першение в горле': 1, 'Боль в животе': 1, 'Отрыжка': 1, 'Профилактика': 2, 'Кашель': 1}",Плохой: частные побочные реакции
спрегаль,"{'Нет ADR': 7, 'Ринорея': 2, 'Заложенность носа': 1}","Хороший, но есть ADR"
стопгрипан,"{'Нет ADR': 20, 'Заложенность носа': 1, 'Профилактика': 2, 'Ринорея': 1}",Плохой: частные побочные реакции
стрепсилс,{'Нет ADR': 14},Плохой: частные побочные реакции
стугерон,"{'Нет ADR': 7, 'Профилактика': 3}",Плохой
сульфадиметоксин,"{'Нет ADR': 21, 'Профилактика': 2, 'Чихание': 1, 'Ринорея': 1, 'Стресс': 1}",Плохой: частные побочные реакции
супрастин,{'Нет ADR': 11},Хороший
тантум верде,"{'Бессонница': 1, 'Нарушение походки': 1, 'Нет ADR': 1}",Плохой
таурин,{'Нет ADR': 16},Хороший
тенотен,"{'Нет ADR': 174, 'Стресс': 3, 'Конверсионное расстройство': 1, 'Нервозность': 5, 'Бессонница': 4, 'Профилактика': 3, 'Чувство угнетения': 1, 'Паническая реакция': 1, 'Пирексия': 1, 'Повышенная температура тела': 1, 'Озноб': 1, 'Миалгия': 1}",Плохой: не помогает
тенотен детский,"{'Профилактика': 1, 'Нет ADR': 78, 'Повышенная температура тела': 1, 'Низкое качество сна': 1}",Плохой: частные побочные реакции
тенториум,"{'Нет ADR': 1, 'Нервозность': 1, 'Стресс': 1}",Плохой
терафлю,"{'Нет ADR': 56, 'Нервозность': 1, 'Зуд': 1, 'Вагинальные выделения': 1, 'Профилактика': 2, 'Конверсионное расстройство': 3, 'Бессонница': 1}","Хороший, но есть ADR"
тималин,{'Нет ADR': 4},Хороший
тонзилгон н,"{'Нет ADR': 45, 'Нарушение со стороны иммунной системы': 1, 'Воспаление': 2, 'Боль': 2, 'Боль внизу живота': 1}","Хороший, но есть ADR"
трентал,"{'Нет ADR': 45, 'Воспаление': 2, 'Инфекция': 1, 'Боль внизу живота': 1, 'Язва желудка': 1, 'Боль в животе': 1}",Плохой: частные побочные реакции
тривалумен,"{'Нет ADR': 13, 'Профилактика': 1}","Хороший, но есть ADR"
фармацитрон,{'Нет ADR': 8},Хороший
фармацитрон форте,{'Нет ADR': 24},Хороший
