,disease,drug
89,Дискомфорт в ротовой полости,Нет хороших лекарств
90,Увеличение количества мокроты,Нет хороших лекарств
91,Перепады настроения,Нет хороших лекарств
92,Нарушение психики,Нет хороших лекарств
93,Нарушение внимания,Нет хороших лекарств
94,Воспаление,кипферон
95,Угри,Нет хороших лекарств
96,Эритема,Нет хороших лекарств
97,Отечность глаз,Нет хороших лекарств
98,Операция на глазах,Нет хороших лекарств
99,Боль после родов,Нет хороших лекарств
100,Травма конечности,Нет хороших лекарств
101,Артрит,Нет хороших лекарств
102,Гипестезия,Нет хороших лекарств
103,Головокружение,Нет хороших лекарств
104,Раздражение горла,Нет хороших лекарств
105,Подергивание мышц,Нет хороших лекарств
106,Сенсорное расстройство,Нет хороших лекарств
107,Ринит,отипакс
108,Мочеточниковое кровоизлияние,Нет хороших лекарств
109,Спинальное субдуральное кровоизлияние,Нет хороших лекарств
110,Разрыв аневризмы аорты,Нет хороших лекарств
111,Разрыв матки,Нет хороших лекарств
112,Дискомфорт,Нет хороших лекарств
113,Выделения,Нет хороших лекарств
114,Абдоминальный дискомфорт,Нет хороших лекарств
115,Боль кожных покровов,Нет хороших лекарств
116,Боль в верхних отделах живота,аквалор
117,Мышечная слабость,Нет хороших лекарств
118,Повышение уровня иммуноглобулина Е (IgE) в крови,Нет хороших лекарств
119,Нарушение со стороны слизистой носа,Нет хороших лекарств
120,Отек лица,Нет хороших лекарств
121,Тиннитус,Нет хороших лекарств
122,Вялость,орвирем
123,Профилактика вирусных инфекций,Нет хороших лекарств
124,Хиропрактика,Нет хороших лекарств
125,Спайки в носу,Нет хороших лекарств
126,Припухлость глотки,Нет хороших лекарств
127,Стоматит,Нет хороших лекарств
128,Мышечные спазмы,Нет хороших лекарств
129,Замкнутое поведение,Нет хороших лекарств
130,Колебания артериального давления,Нет хороших лекарств
131,Ишемия желудочно-кишечного тракта,Нет хороших лекарств
132,Нарушение работоспособности,Нет хороших лекарств
133,Отечность в области сустава,Нет хороших лекарств
134,Диарея,Нет хороших лекарств
135,Патология желудка,Нет хороших лекарств
136,Апатия,персен
137,Ощущение тревоги,персен
138,Отек слизистых оболочек,Нет хороших лекарств
139,Зуд в носу,Нет хороших лекарств
140,Отклонение от нормы результатов исследований функций периферической нервной системы,Нет хороших лекарств
141,Расстройство зрения,Нет хороших лекарств
142,Чувство жжения,Нет хороших лекарств
143,Кожные трещины,Нет хороших лекарств
144,Кровоизлияние,Нет хороших лекарств
145,Аногенитальные бородавки,Нет хороших лекарств
146,Отрыжка,Нет хороших лекарств
147,Нарушение походки,азалептин
148,Конверсионное расстройство,Нет хороших лекарств
149,Чувство угнетения,Нет хороших лекарств
150,Вагинальные выделения,Нет хороших лекарств
151,Боль внизу живота,Нет хороших лекарств
152,Инфекция,Нет хороших лекарств
153,Язва желудка,Нет хороших лекарств
154,Глазные выделения,Нет хороших лекарств
155,Агрессия,глицисед
156,Расстройство поведения,Нет хороших лекарств
157,Повышение уровня холестерина в крови,Нет хороших лекарств
158,Дискомфорт в голове,Нет хороших лекарств
159,Невроз,Нет хороших лекарств
