,disease,drug
70,Пирексия|Повышенная температура тела,кипферон
71,Раздражение горла|Боль в ротоглотке (орофарингеальная),Нет хороших лекарств
72,Продуктивный кашель,эвкабал бальзам с
73,Профилактика респираторных заболеваний|Профилактика,Нет хороших лекарств
74,Терминальная бессонница,Нет хороших лекарств
75,Усталость,Нет хороших лекарств
76,Заложенность носа|Дискомфорт в носу,Нет хороших лекарств
77,Боль в костях,Нет хороших лекарств
78,Инфекция дыхательных путей,иммунофлазид
79,Гнев,тенотен
80,Менструальное нарушение,Нет хороших лекарств
81,"Простой герпес (HSV)|Инфекция, вызванная вирусом герпеса",Нет хороших лекарств
82,Бессонница|Нарушение засыпания,Нет хороших лекарств
83,Оральный герпес,Нет хороших лекарств
84,Нарушение памяти,Нет хороших лекарств
85,Папилломавирусная инфекция,Нет хороших лекарств
86,Сердцебиение,Нет хороших лекарств
87,Частота сердечных сокращений выше нормы|Отклонение от нормы пульса,Нет хороших лекарств
88,Гипотермия,Нет хороших лекарств
89,Болезненные ощущения|Пузырь,Нет хороших лекарств
90,Зуд,спрегаль
91,Дискомфорт в ротовой полости,Нет хороших лекарств
92,Инфекционный энтерит,Нет хороших лекарств
93,Рвота,Нет хороших лекарств
94,Метастаз,Нет хороших лекарств
95,"Зуд|Зуд, аллергический",Нет хороших лекарств
96,Гиперчувствительность,Нет хороших лекарств
97,Отечность в области сустава|Периферический отек,Нет хороших лекарств
98,"Артрит, аллергический",Нет хороших лекарств
99,Крапивница,Нет хороших лекарств
100,Хейлит,Нет хороших лекарств
101,Хрипы,Нет хороших лекарств
102,Настроение измененное|Сниженное настроение,Нет хороших лекарств
103,Нервозность|Бессонница,Нет хороших лекарств
104,Сомнолентность,Нет хороших лекарств
105,Заложенность носа|Ринорея,Нет хороших лекарств
106,Нарушение внимания,энцефабол
107,Отравление,энцефабол
108,Оральный герпес|Офтальмогерпес,ацикловир сандоз
109,Артралгия,Нет хороших лекарств
110,Вирусная инфекция дыхательных путей,Нет хороших лекарств
111,Гиперсекреторное слезоотделение,"флюколд, максиколд рино"
112,Расстройство речи,энцефабол
113,Угри,фенистил
114,Невроз,Нет хороших лекарств
115,Нарушение мозгового кровообращения,Нет хороших лекарств
116,Сосудистое нарушение сетчатки,Нет хороших лекарств
117,Дистрофия сетчатки,Нет хороших лекарств
118,Травма конечности,Нет хороших лекарств
119,Отклонения от нормы артериального давления,Нет хороших лекарств
120,Колебания артериального давления,Нет хороших лекарств
121,Пузырь на губе|Боль в области губы,Нет хороших лекарств
122,Внутримозговое кровоизлияние,Нет хороших лекарств
123,Кашель|Боль в ротоглотке (орофарингеальная),Нет хороших лекарств
124,Укачивание при движении,Нет хороших лекарств
125,Неправильное положение матки,Нет хороших лекарств
126,Выделения,Нет хороших лекарств
127,Пемфигоид,Нет хороших лекарств
128,"Сыпь, везикулезная",Нет хороших лекарств
129,Чувство жжения,Нет хороших лекарств
130,Дискомфорт в конечностях|Мышечная слабость,арбидол
131,Глазные выделения,Нет хороших лекарств
132,Тиннитус,Нет хороших лекарств
133,Вялость,Нет хороших лекарств
134,Отек носовых пазух,Нет хороших лекарств
135,Тик|Патология нервной системы,Нет хороших лекарств
136,Рубец,Нет хороших лекарств
137,Оральный герпес|Угри,Нет хороших лекарств
138,Эритема,Нет хороших лекарств
139,Одинофагия,Нет хороших лекарств
140,Стоматит|Неинфекционный гингивит,Нет хороших лекарств
141,Паническая реакция|Чувство тревоги,Нет хороших лекарств
142,Заложенность носа|Воспаление в носу,Нет хороших лекарств
143,Чувство жжения|Дискомфорт в ротовой полости,Нет хороших лекарств
144,Нарушение мозгового кровообращения|Колебания артериального давления,Нет хороших лекарств
145,Чувствительность к изменению погоды|Метеопатия,Нет хороших лекарств
146,Желудочно-кишечная боль,Нет хороших лекарств
147,Умственная усталость,Нет хороших лекарств
148,Эмоциональное расстройство|Напряженное состояние,Нет хороших лекарств
149,Задержка моторного развития,Нет хороших лекарств
150,Гипокинезия,Нет хороших лекарств
151,Синкопе,Нет хороших лекарств
152,Отек лица,Нет хороших лекарств
153,Панкреатит|Диарея,Нет хороших лекарств
154,Астения|Усталость,персен
155,Стенокардия,Нет хороших лекарств
156,Эмоциональное расстройство,Нет хороших лекарств
157,Расстройство зрения,Нет хороших лекарств
158,Оральный герпес|Пузырь,Нет хороших лекарств
159,Аногенитальные бородавки,Нет хороших лекарств
160,Конверсионное расстройство,Нет хороших лекарств
161,Чувство тревоги|Чувство угнетения|Сниженное настроение,Нет хороших лекарств
162,Нарушение засыпания|Бессонница,Нет хороших лекарств
163,Сниженное настроение,Нет хороших лекарств
164,Интрасомническое расстройство|Низкое качество сна|Расстройство сна|Бессонница,феназепам
165,Нервозность|Напряженное состояние,тривалумен
166,Вагинальные выделения|Выделения,Нет хороших лекарств
167,Воспаление,кипферон
168,Боль внизу живота,Нет хороших лекарств
169,Боль внизу живота|Вульвовагинальное воспаление,Нет хороших лекарств
170,Боль в животе,Нет хороших лекарств
171,Артралгия|Миалгия,антигриппин
172,Боль в пазухах носа|Боль в ротоглотке (орофарингеальная)|Нарушение со стороны глотки,антигриппин
173,Отечность глаз|Гиперемия глаз,Нет хороших лекарств
174,Гиперсекреторное слезоотделение|Ринорея,Нет хороших лекарств
175,Расстройство поведения,Нет хороших лекарств
176,Агрессия,глицисед
177,Ринит,Нет хороших лекарств
178,Тремор|Озноб,Нет хороших лекарств
